"ATA","Rank","Year"
"612","1","01/01/2011"
"324","2","01/01/2011"
"732","3","01/01/2011"
"761","4","01/01/2011"
"341","5","01/01/2011"
"342","6","01/01/2011"
"302","7","01/01/2011"
"50","8","01/01/2011"
"344","9","01/01/2011"
"301","10","01/01/2011"
"612","1","01/01/2012"
"291","2","01/01/2012"
"324","3","01/01/2012"
"771","4","01/01/2012"
"732","5","01/01/2012"
"761","6","01/01/2012"
"302","7","01/01/2012"
"721","8","01/01/2012"
"561","9","01/01/2012"
"344","10","01/01/2012"
"215","1","01/01/2013"
"612","2","01/01/2013"
"243","3","01/01/2013"
"324","4","01/01/2013"
"291","5","01/01/2013"
"342","6","01/01/2013"
"341","7","01/01/2013"
"301","8","01/01/2013"
"611","9","01/01/2013"
"334","10","01/01/2013"
"275","1","01/01/2014"
"342","2","01/01/2014"
"611","3","01/01/2014"
"732","4","01/01/2014"
"341","5","01/01/2014"
"324","6","01/01/2014"
"50","7","01/01/2014"
"352","8","01/01/2014"
"761","9","01/01/2014"
"243","10","01/01/2014"
"341","1","01/01/2015"
"771","2","01/01/2015"
"302","3","01/01/2015"
"612","4","01/01/2015"
"303","5","01/01/2015"
"215","6","01/01/2015"
"561","7","01/01/2015"
"342","8","01/01/2015"
"324","9","01/01/2015"
"243","10","01/01/2015"
