"ATA","Rank","Year"
"5211","1","01/01/2011"
"3611","2","01/01/2011"
"2823","3","01/01/2011"
"3244","4","01/01/2011"
"2151","5","01/01/2011"
"3241","6","01/01/2011"
"2735","7","01/01/2011"
"3245","8","01/01/2011"
"2131","9","01/01/2011"
"7830","10","01/01/2011"
"5211","1","01/01/2012"
"3611","2","01/01/2012"
"3241","3","01/01/2012"
"3245","4","01/01/2012"
"3262","5","01/01/2012"
"2911","6","01/01/2012"
"2131","7","01/01/2012"
"3831","8","01/01/2012"
"3461","9","01/01/2012"
"3232","10","01/01/2012"
"3611","1","01/01/2013"
"5211","2","01/01/2013"
"3426","3","01/01/2013"
"2735","4","01/01/2013"
"3021","5","01/01/2013"
"7832","6","01/01/2013"
"3245","7","01/01/2013"
"2351","8","01/01/2013"
"3241","9","01/01/2013"
"2431","10","01/01/2013"
"3426","1","01/01/2014"
"2211","2","01/01/2014"
"3428","3","01/01/2014"
"3611","4","01/01/2014"
"5211","5","01/01/2014"
"2755","6","01/01/2014"
"2500","7","01/01/2014"
"2823","8","01/01/2014"
"2821","9","01/01/2014"
"3242","10","01/01/2014"
"2763","1","01/01/2015"
"3611","2","01/01/2015"
"3241","3","01/01/2015"
"2211","4","01/01/2015"
"7830","5","01/01/2015"
"2821","6","01/01/2015"
"3428","7","01/01/2015"
"5211","8","01/01/2015"
"3812","9","01/01/2015"
"2221","10","01/01/2015"
