"ATA","Rank","Year"
"324","1","01/01/1988"
"361","2","01/01/1988"
"291","3","01/01/1988"
"342","4","01/01/1988"
"326","5","01/01/1988"
"281","6","01/01/1988"
"243","7","01/01/1988"
"221","8","01/01/1988"
"275","9","01/01/1988"
"276","10","01/01/1988"
"222","1","01/01/1991"
"324","2","01/01/1991"
"361","3","01/01/1991"
"326","4","01/01/1991"
"342","5","01/01/1991"
"276","6","01/01/1991"
"774","7","01/01/1991"
"291","8","01/01/1991"
"221","9","01/01/1991"
"272","10","01/01/1991"
"324","1","01/01/1994"
"361","2","01/01/1994"
"276","3","01/01/1994"
"222","4","01/01/1994"
"291","5","01/01/1994"
"326","6","01/01/1994"
"273","7","01/01/1994"
"221","8","01/01/1994"
"342","9","01/01/1994"
"774","10","01/01/1994"
"324","1","01/01/1997"
"361","2","01/01/1997"
"276","3","01/01/1997"
"342","4","01/01/1997"
"291","5","01/01/1997"
"215","6","01/01/1997"
"275","7","01/01/1997"
"783","8","01/01/1997"
"243","9","01/01/1997"
"213","10","01/01/1997"
"324","1","01/01/2000"
"783","2","01/01/2000"
"361","3","01/01/2000"
"275","4","01/01/2000"
"276","5","01/01/2000"
"490","6","01/01/2000"
"342","7","01/01/2000"
"282","8","01/01/2000"
"221","9","01/01/2000"
"561","10","01/01/2000"
"324","1","01/01/2003"
"361","2","01/01/2003"
"342","3","01/01/2003"
"276","4","01/01/2003"
"282","5","01/01/2003"
"561","6","01/01/2003"
"783","7","01/01/2003"
"291","8","01/01/2003"
"281","9","01/01/2003"
"275","10","01/01/2003"
"324","1","01/01/2006"
"361","2","01/01/2006"
"276","3","01/01/2006"
"342","4","01/01/2006"
"221","5","01/01/2006"
"774","6","01/01/2006"
"213","7","01/01/2006"
"783","8","01/01/2006"
"290","9","01/01/2006"
"282","10","01/01/2006"
"291","1","01/01/2009"
"324","2","01/01/2009"
"50","3","01/01/2009"
"361","4","01/01/2009"
"276","5","01/01/2009"
"342","6","01/01/2009"
"222","7","01/01/2009"
"275","8","01/01/2009"
"221","9","01/01/2009"
"213","10","01/01/2009"
"324","1","01/01/2012"
"361","2","01/01/2012"
"50","3","01/01/2012"
"561","4","01/01/2012"
"774","5","01/01/2012"
"282","6","01/01/2012"
"275","7","01/01/2012"
"276","8","01/01/2012"
"291","9","01/01/2012"
"783","10","01/01/2012"
"361","1","01/01/2015"
"324","2","01/01/2015"
"276","3","01/01/2015"
"281","4","01/01/2015"
"561","5","01/01/2015"
"275","6","01/01/2015"
"323","7","01/01/2015"
"342","8","01/01/2015"
"221","9","01/01/2015"
"301","10","01/01/2015"
