"ATA","Rank","Year"
"3611","1","01/01/2011"
"2131","2","01/01/2011"
"7100","3","01/01/2011"
"2221","4","01/01/2011"
"2755","5","01/01/2011"
"2211","6","01/01/2011"
"3352","7","01/01/2011"
"7321","8","01/01/2011"
"2151","9","01/01/2011"
"2911","10","01/01/2011"
"2911","1","01/07/2011"
"5611","2","01/07/2011"
"500","3","01/07/2011"
"3241","4","01/07/2011"
"2131","5","01/07/2011"
"3242","6","01/07/2011"
"3426","7","01/07/2011"
"3611","8","01/07/2011"
"3021","9","01/07/2011"
"3352","10","01/07/2011"
"2821","1","01/01/2012"
"5611","2","01/01/2012"
"2351","3","01/01/2012"
"3831","4","01/01/2012"
"3245","5","01/01/2012"
"3611","6","01/01/2012"
"2211","7","01/01/2012"
"2742","8","01/01/2012"
"3241","9","01/01/2012"
"2221","10","01/01/2012"
"3611","1","01/07/2012"
"3241","2","01/07/2012"
"500","3","01/07/2012"
"3461","4","01/07/2012"
"2151","5","01/07/2012"
"3021","6","01/07/2012"
"2433","7","01/07/2012"
"3262","8","01/07/2012"
"2131","9","01/07/2012"
"3261","10","01/07/2012"
"500","1","01/01/2013"
"3611","2","01/01/2013"
"2911","3","01/01/2013"
"2221","4","01/01/2013"
"3242","5","01/01/2013"
"2151","6","01/01/2013"
"3241","7","01/01/2013"
"5611","8","01/01/2013"
"3232","9","01/01/2013"
"2211","10","01/01/2013"
"500","1","01/07/2013"
"3611","2","01/07/2013"
"7745","3","01/07/2013"
"3021","4","01/07/2013"
"3245","5","01/07/2013"
"3242","6","01/07/2013"
"3141","7","01/07/2013"
"3241","8","01/07/2013"
"2742","9","01/07/2013"
"2351","10","01/07/2013"
"3611","1","01/01/2014"
"4910","2","01/01/2014"
"5611","3","01/01/2014"
"2211","4","01/01/2014"
"3428","5","01/01/2014"
"500","6","01/01/2014"
"3242","7","01/01/2014"
"2755","8","01/01/2014"
"2735","9","01/01/2014"
"7311","10","01/01/2014"
"2211","1","01/07/2014"
"3242","2","01/07/2014"
"3611","3","01/07/2014"
"2131","4","01/07/2014"
"3241","5","01/07/2014"
"4953","6","01/07/2014"
"7300","7","01/07/2014"
"3011","8","01/07/2014"
"7830","9","01/07/2014"
"3245","10","01/07/2014"
"3611","1","01/01/2015"
"5613","2","01/01/2015"
"3232","3","01/01/2015"
"2131","4","01/01/2015"
"3021","5","01/01/2015"
"3428","6","01/01/2015"
"3011","7","01/01/2015"
"2211","8","01/01/2015"
"2756","9","01/01/2015"
"7311","10","01/01/2015"
"3611","1","01/07/2015"
"7421","2","01/07/2015"
"2211","3","01/07/2015"
"2151","4","01/07/2015"
"3232","5","01/07/2015"
"3241","6","01/07/2015"
"2900","7","01/07/2015"
"3400","8","01/07/2015"
"7100","9","01/07/2015"
"7311","10","01/07/2015"
