"ATA","Rank","Year"
"7300","1","01/01/1988"
"7320","2","01/01/1988"
"3400","3","01/01/1988"
"3200","4","01/01/1988"
"6100","5","01/01/1988"
"7322","6","01/01/1988"
"2700","7","01/01/1988"
"2900","8","01/01/1988"
"7321","9","01/01/1988"
"3021","10","01/01/1988"
"7322","1","01/01/1991"
"7311","2","01/01/1991"
"2911","3","01/01/1991"
"7321","4","01/01/1991"
"3021","5","01/01/1991"
"8011","6","01/01/1991"
"6122","7","01/01/1991"
"3241","8","01/01/1991"
"2433","9","01/01/1991"
"6123","10","01/01/1991"
"3021","1","01/01/1994"
"7311","2","01/01/1994"
"7322","3","01/01/1994"
"8011","4","01/01/1994"
"3241","5","01/01/1994"
"2433","6","01/01/1994"
"2911","7","01/01/1994"
"3011","8","01/01/1994"
"6122","9","01/01/1994"
"6124","10","01/01/1994"
"3021","1","01/01/1997"
"7320","2","01/01/1997"
"7322","3","01/01/1997"
"7311","4","01/01/1997"
"3241","5","01/01/1997"
"3245","6","01/01/1997"
"8011","7","01/01/1997"
"2433","8","01/01/1997"
"7713","9","01/01/1997"
"2911","10","01/01/1997"
"6120","1","01/01/2000"
"7320","2","01/01/2000"
"3240","3","01/01/2000"
"7610","4","01/01/2000"
"2910","5","01/01/2000"
"3021","6","01/01/2000"
"7713","7","01/01/2000"
"2433","8","01/01/2000"
"3010","9","01/01/2000"
"6110","10","01/01/2000"
"3240","1","01/01/2003"
"6120","2","01/01/2003"
"2910","3","01/01/2003"
"3021","4","01/01/2003"
"3010","5","01/01/2003"
"7320","6","01/01/2003"
"8011","7","01/01/2003"
"7713","8","01/01/2003"
"3610","9","01/01/2003"
"2410","10","01/01/2003"
"3021","1","01/01/2006"
"6120","2","01/01/2006"
"3240","3","01/01/2006"
"8011","4","01/01/2006"
"7900","5","01/01/2006"
"2900","6","01/01/2006"
"7713","7","01/01/2006"
"7711","8","01/01/2006"
"6110","9","01/01/2006"
"3421","10","01/01/2006"
"7322","1","01/01/2009"
"3021","2","01/01/2009"
"3426","3","01/01/2009"
"3011","4","01/01/2009"
"3131","5","01/01/2009"
"7612","6","01/01/2009"
"6122","7","01/01/2009"
"6123","8","01/01/2009"
"8011","9","01/01/2009"
"500","10","01/01/2009"
"2752","1","01/01/2012"
"2151","2","01/01/2012"
"6110","3","01/01/2012"
"7612","4","01/01/2012"
"6123","5","01/01/2012"
"7322","6","01/01/2012"
"8011","7","01/01/2012"
"3021","8","01/01/2012"
"2911","9","01/01/2012"
"500","10","01/01/2012"
"3021","1","01/01/2015"
"3031","2","01/01/2015"
"2151","3","01/01/2015"
"7713","4","01/01/2015"
"6124","5","01/01/2015"
"2433","6","01/01/2015"
"3413","7","01/01/2015"
"7311","8","01/01/2015"
"3221","9","01/01/2015"
"5611","10","01/01/2015"
