"ATA","Rank","Date"
"27","1","01/01/1995"
"32","2","01/01/1995"
"22","3","01/01/1995"
"24","4","01/01/1995"
"34","5","01/01/1995"
"52","6","01/01/1995"
"30","7","01/01/1995"
"31","8","01/01/1995"
"36","9","01/01/1995"
"49","10","01/01/1995"
"27","1","01/01/1996"
"32","2","01/01/1996"
"22","3","01/01/1996"
"28","4","01/01/1996"
"24","5","01/01/1996"
"31","6","01/01/1996"
"34","7","01/01/1996"
"49","8","01/01/1996"
"29","9","01/01/1996"
"36","10","01/01/1996"
"27","1","01/01/1997"
"32","2","01/01/1997"
"22","3","01/01/1997"
"28","4","01/01/1997"
"34","5","01/01/1997"
"78","6","01/01/1997"
"49","7","01/01/1997"
"30","8","01/01/1997"
"29","9","01/01/1997"
"24","10","01/01/1997"
"27","1","01/01/1998"
"32","2","01/01/1998"
"22","3","01/01/1998"
"34","4","01/01/1998"
"29","5","01/01/1998"
"36","6","01/01/1998"
"21","7","01/01/1998"
"52","8","01/01/1998"
"24","9","01/01/1998"
"30","10","01/01/1998"
"32","1","01/01/1999"
"27","2","01/01/1999"
"29","3","01/01/1999"
"36","4","01/01/1999"
"78","5","01/01/1999"
"22","6","01/01/1999"
"34","7","01/01/1999"
"21","8","01/01/1999"
"28","9","01/01/1999"
"24","10","01/01/1999"
"32","1","01/01/2000"
"27","2","01/01/2000"
"34","3","01/01/2000"
"36","4","01/01/2000"
"22","5","01/01/2000"
"21","6","01/01/2000"
"78","7","01/01/2000"
"29","8","01/01/2000"
"28","9","01/01/2000"
"52","10","01/01/2000"
"32","1","01/01/2001"
"27","2","01/01/2001"
"34","3","01/01/2001"
"21","4","01/01/2001"
"22","5","01/01/2001"
"28","6","01/01/2001"
"52","7","01/01/2001"
"29","8","01/01/2001"
"78","9","01/01/2001"
"24","10","01/01/2001"
"32","1","01/01/2002"
"27","2","01/01/2002"
"22","3","01/01/2002"
"34","4","01/01/2002"
"29","5","01/01/2002"
"36","6","01/01/2002"
"21","7","01/01/2002"
"24","8","01/01/2002"
"28","9","01/01/2002"
"52","10","01/01/2002"
"32","1","01/01/2003"
"27","2","01/01/2003"
"29","3","01/01/2003"
"34","4","01/01/2003"
"22","5","01/01/2003"
"30","6","01/01/2003"
"28","7","01/01/2003"
"25","8","01/01/2003"
"52","9","01/01/2003"
"24","10","01/01/2003"
"32","1","01/01/2004"
"27","2","01/01/2004"
"34","3","01/01/2004"
"22","4","01/01/2004"
"21","5","01/01/2004"
"30","6","01/01/2004"
"72","7","01/01/2004"
"52","8","01/01/2004"
"29","9","01/01/2004"
"36","10","01/01/2004"
"32","1","01/01/2005"
"27","2","01/01/2005"
"22","3","01/01/2005"
"21","4","01/01/2005"
"34","5","01/01/2005"
"25","6","01/01/2005"
"52","7","01/01/2005"
"24","8","01/01/2005"
"28","9","01/01/2005"
"36","10","01/01/2005"
"32","1","01/01/2006"
"22","2","01/01/2006"
"27","3","01/01/2006"
"52","4","01/01/2006"
"21","5","01/01/2006"
"34","6","01/01/2006"
"29","7","01/01/2006"
"25","8","01/01/2006"
"28","9","01/01/2006"
"36","10","01/01/2006"
"32","1","01/01/2007"
"27","2","01/01/2007"
"34","3","01/01/2007"
"22","4","01/01/2007"
"52","5","01/01/2007"
"36","6","01/01/2007"
"21","7","01/01/2007"
"28","8","01/01/2007"
"25","9","01/01/2007"
"29","10","01/01/2007"
"27","1","01/01/2008"
"34","2","01/01/2008"
"32","3","01/01/2008"
"24","4","01/01/2008"
"36","5","01/01/2008"
"29","6","01/01/2008"
"52","7","01/01/2008"
"21","8","01/01/2008"
"28","9","01/01/2008"
"22","10","01/01/2008"
"32","1","01/01/2009"
"27","2","01/01/2009"
"21","3","01/01/2009"
"34","4","01/01/2009"
"22","5","01/01/2009"
"28","6","01/01/2009"
"52","7","01/01/2009"
"36","8","01/01/2009"
"24","9","01/01/2009"
"29","10","01/01/2009"
"32","1","01/01/2010"
"21","2","01/01/2010"
"27","3","01/01/2010"
"34","4","01/01/2010"
"52","5","01/01/2010"
"30","6","01/01/2010"
"22","7","01/01/2010"
"24","8","01/01/2010"
"36","9","01/01/2010"
"29","10","01/01/2010"
"32","1","01/01/2011"
"27","2","01/01/2011"
"52","3","01/01/2011"
"21","4","01/01/2011"
"34","5","01/01/2011"
"36","6","01/01/2011"
"28","7","01/01/2011"
"29","8","01/01/2011"
"24","9","01/01/2011"
"22","10","01/01/2011"
"32","1","01/01/2012"
"27","2","01/01/2012"
"34","3","01/01/2012"
"52","4","01/01/2012"
"21","5","01/01/2012"
"28","6","01/01/2012"
"22","7","01/01/2012"
"29","8","01/01/2012"
"36","9","01/01/2012"
"24","10","01/01/2012"
"32","1","01/01/2013"
"27","2","01/01/2013"
"34","3","01/01/2013"
"52","4","01/01/2013"
"21","5","01/01/2013"
"28","6","01/01/2013"
"22","7","01/01/2013"
"29","8","01/01/2013"
"24","9","01/01/2013"
"25","10","01/01/2013"
"27","1","01/01/2014"
"32","2","01/01/2014"
"34","3","01/01/2014"
"28","4","01/01/2014"
"22","5","01/01/2014"
"52","6","01/01/2014"
"21","7","01/01/2014"
"25","8","01/01/2014"
"24","9","01/01/2014"
"36","10","01/01/2014"
"27","1","01/01/2015"
"32","2","01/01/2015"
"34","3","01/01/2015"
"52","4","01/01/2015"
"22","5","01/01/2015"
"28","6","01/01/2015"
"36","7","01/01/2015"
"49","8","01/01/2015"
"24","9","01/01/2015"
"29","10","01/01/2015"
