"ATA","Rank","Date"
"32","1","01/01/1988"
"27","2","01/01/1988"
"34","3","01/01/1988"
"36","4","01/01/1988"
"29","5","01/01/1988"
"22","6","01/01/1988"
"28","7","01/01/1988"
"24","8","01/01/1988"
"21","9","01/01/1988"
"30","10","01/01/1988"
"32","1","01/01/1991"
"27","2","01/01/1991"
"22","3","01/01/1991"
"34","4","01/01/1991"
"29","5","01/01/1991"
"36","6","01/01/1991"
"28","7","01/01/1991"
"21","8","01/01/1991"
"30","9","01/01/1991"
"77","10","01/01/1991"
"32","1","01/01/1994"
"27","2","01/01/1994"
"34","3","01/01/1994"
"22","4","01/01/1994"
"36","5","01/01/1994"
"29","6","01/01/1994"
"30","7","01/01/1994"
"21","8","01/01/1994"
"28","9","01/01/1994"
"52","10","01/01/1994"
"32","1","01/01/1997"
"27","2","01/01/1997"
"34","3","01/01/1997"
"21","4","01/01/1997"
"30","5","01/01/1997"
"22","6","01/01/1997"
"29","7","01/01/1997"
"36","8","01/01/1997"
"24","9","01/01/1997"
"28","10","01/01/1997"
"32","1","01/01/2000"
"27","2","01/01/2000"
"34","3","01/01/2000"
"29","4","01/01/2000"
"22","5","01/01/2000"
"30","6","01/01/2000"
"28","7","01/01/2000"
"49","8","01/01/2000"
"78","9","01/01/2000"
"36","10","01/01/2000"
"32","1","01/01/2003"
"27","2","01/01/2003"
"34","3","01/01/2003"
"28","4","01/01/2003"
"29","5","01/01/2003"
"21","6","01/01/2003"
"36","7","01/01/2003"
"22","8","01/01/2003"
"30","9","01/01/2003"
"25","10","01/01/2003"
"32","1","01/01/2006"
"27","2","01/01/2006"
"34","3","01/01/2006"
"22","4","01/01/2006"
"21","5","01/01/2006"
"29","6","01/01/2006"
"28","7","01/01/2006"
"36","8","01/01/2006"
"30","9","01/01/2006"
"33","10","01/01/2006"
"32","1","01/01/2009"
"27","2","01/01/2009"
"34","3","01/01/2009"
"29","4","01/01/2009"
"22","5","01/01/2009"
"21","6","01/01/2009"
"28","7","01/01/2009"
"36","8","01/01/2009"
"5","9","01/01/2009"
"30","10","01/01/2009"
"32","1","01/01/2012"
"27","2","01/01/2012"
"34","3","01/01/2012"
"28","4","01/01/2012"
"21","5","01/01/2012"
"22","6","01/01/2012"
"29","7","01/01/2012"
"49","8","01/01/2012"
"36","9","01/01/2012"
"5","10","01/01/2012"
"27","1","01/01/2015"
"32","2","01/01/2015"
"34","3","01/01/2015"
"28","4","01/01/2015"
"36","5","01/01/2015"
"21","6","01/01/2015"
"30","7","01/01/2015"
"22","8","01/01/2015"
"49","9","01/01/2015"
"29","10","01/01/2015"
