"ATA","Rank","Date"
"27","1","01/01/2014"
"32","2","01/01/2014"
"22","3","01/01/2014"
"28","4","01/01/2014"
"34","5","01/01/2014"
"52","6","01/01/2014"
"31","7","01/01/2014"
"21","8","01/01/2014"
"24","9","01/01/2014"
"25","10","01/01/2014"
"27","1","01/04/2014"
"21","2","01/04/2014"
"32","3","01/04/2014"
"34","4","01/04/2014"
"52","5","01/04/2014"
"28","6","01/04/2014"
"24","7","01/04/2014"
"31","8","01/04/2014"
"36","9","01/04/2014"
"22","10","01/04/2014"
"22","1","01/07/2014"
"27","2","01/07/2014"
"32","3","01/07/2014"
"34","4","01/07/2014"
"28","5","01/07/2014"
"52","6","01/07/2014"
"21","7","01/07/2014"
"25","8","01/07/2014"
"36","9","01/07/2014"
"23","10","01/07/2014"
"32","1","01/10/2014"
"28","2","01/10/2014"
"34","3","01/10/2014"
"27","4","01/10/2014"
"22","5","01/10/2014"
"25","6","01/10/2014"
"21","7","01/10/2014"
"36","8","01/10/2014"
"24","9","01/10/2014"
"31","10","01/10/2014"
"27","1","01/01/2015"
"22","2","01/01/2015"
"24","3","01/01/2015"
"32","4","01/01/2015"
"34","5","01/01/2015"
"36","6","01/01/2015"
"49","7","01/01/2015"
"52","8","01/01/2015"
"28","9","01/01/2015"
"31","10","01/01/2015"
"27","1","01/04/2015"
"34","2","01/04/2015"
"52","3","01/04/2015"
"32","4","01/04/2015"
"36","5","01/04/2015"
"29","6","01/04/2015"
"28","7","01/04/2015"
"31","8","01/04/2015"
"49","9","01/04/2015"
"24","10","01/04/2015"
"32","1","01/07/2015"
"28","2","01/07/2015"
"52","3","01/07/2015"
"22","4","01/07/2015"
"34","5","01/07/2015"
"27","6","01/07/2015"
"49","7","01/07/2015"
"24","8","01/07/2015"
"21","9","01/07/2015"
"29","10","01/07/2015"
"27","1","01/10/2015"
"34","2","01/10/2015"
"22","3","01/10/2015"
"32","4","01/10/2015"
"52","5","01/10/2015"
"5","6","01/10/2015"
"28","7","01/10/2015"
"30","8","01/10/2015"
"21","9","01/10/2015"
"36","10","01/10/2015"
