"ATA","Rank","Date"
"73","1","01/01/1988"
"32","2","01/01/1988"
"61","3","01/01/1988"
"27","4","01/01/1988"
"34","5","01/01/1988"
"30","6","01/01/1988"
"24","7","01/01/1988"
"77","8","01/01/1988"
"29","9","01/01/1988"
"28","10","01/01/1988"
"73","1","01/01/1989"
"61","2","01/01/1989"
"32","3","01/01/1989"
"27","4","01/01/1989"
"34","5","01/01/1989"
"29","6","01/01/1989"
"77","7","01/01/1989"
"24","8","01/01/1989"
"30","9","01/01/1989"
"26","10","01/01/1989"
"73","1","01/01/1990"
"32","2","01/01/1990"
"34","3","01/01/1990"
"30","4","01/01/1990"
"61","5","01/01/1990"
"27","6","01/01/1990"
"29","7","01/01/1990"
"24","8","01/01/1990"
"79","9","01/01/1990"
"21","10","01/01/1990"
"73","1","01/01/1991"
"61","2","01/01/1991"
"32","3","01/01/1991"
"29","4","01/01/1991"
"34","5","01/01/1991"
"30","6","01/01/1991"
"24","7","01/01/1991"
"27","8","01/01/1991"
"79","9","01/01/1991"
"21","10","01/01/1991"
"73","1","01/01/1992"
"32","2","01/01/1992"
"61","3","01/01/1992"
"34","4","01/01/1992"
"29","5","01/01/1992"
"30","6","01/01/1992"
"24","7","01/01/1992"
"79","8","01/01/1992"
"28","9","01/01/1992"
"21","10","01/01/1992"
"73","1","01/01/1993"
"32","2","01/01/1993"
"61","3","01/01/1993"
"29","4","01/01/1993"
"34","5","01/01/1993"
"24","6","01/01/1993"
"30","7","01/01/1993"
"27","8","01/01/1993"
"77","9","01/01/1993"
"79","10","01/01/1993"
"73","1","01/01/1994"
"34","2","01/01/1994"
"32","3","01/01/1994"
"61","4","01/01/1994"
"24","5","01/01/1994"
"29","6","01/01/1994"
"30","7","01/01/1994"
"77","8","01/01/1994"
"27","9","01/01/1994"
"21","10","01/01/1994"
"30","1","01/01/1995"
"73","2","01/01/1995"
"32","3","01/01/1995"
"61","4","01/01/1995"
"34","5","01/01/1995"
"27","6","01/01/1995"
"24","7","01/01/1995"
"77","8","01/01/1995"
"29","9","01/01/1995"
"33","10","01/01/1995"
"32","1","01/01/1996"
"30","2","01/01/1996"
"73","3","01/01/1996"
"61","4","01/01/1996"
"34","5","01/01/1996"
"24","6","01/01/1996"
"29","7","01/01/1996"
"77","8","01/01/1996"
"21","9","01/01/1996"
"79","10","01/01/1996"
"73","1","01/01/1997"
"32","2","01/01/1997"
"61","3","01/01/1997"
"30","4","01/01/1997"
"34","5","01/01/1997"
"24","6","01/01/1997"
"29","7","01/01/1997"
"27","8","01/01/1997"
"28","9","01/01/1997"
"79","10","01/01/1997"
"32","1","01/01/1998"
"30","2","01/01/1998"
"73","3","01/01/1998"
"34","4","01/01/1998"
"61","5","01/01/1998"
"29","6","01/01/1998"
"27","7","01/01/1998"
"77","8","01/01/1998"
"24","9","01/01/1998"
"79","10","01/01/1998"
"32","1","01/01/1999"
"30","2","01/01/1999"
"73","3","01/01/1999"
"34","4","01/01/1999"
"61","5","01/01/1999"
"24","6","01/01/1999"
"77","7","01/01/1999"
"27","8","01/01/1999"
"29","9","01/01/1999"
"52","10","01/01/1999"
"32","1","01/01/2000"
"61","2","01/01/2000"
"24","3","01/01/2000"
"30","4","01/01/2000"
"73","5","01/01/2000"
"34","6","01/01/2000"
"29","7","01/01/2000"
"27","8","01/01/2000"
"77","9","01/01/2000"
"21","10","01/01/2000"
"32","1","01/01/2001"
"61","2","01/01/2001"
"34","3","01/01/2001"
"73","4","01/01/2001"
"76","5","01/01/2001"
"27","6","01/01/2001"
"30","7","01/01/2001"
"77","8","01/01/2001"
"24","9","01/01/2001"
"29","10","01/01/2001"
"32","1","01/01/2002"
"34","2","01/01/2002"
"61","3","01/01/2002"
"73","4","01/01/2002"
"29","5","01/01/2002"
"30","6","01/01/2002"
"77","7","01/01/2002"
"79","8","01/01/2002"
"27","9","01/01/2002"
"24","10","01/01/2002"
"32","1","01/01/2003"
"30","2","01/01/2003"
"61","3","01/01/2003"
"34","4","01/01/2003"
"24","5","01/01/2003"
