"ATA","Rank","Year"
"291","1","01/01/2011"
"324","2","01/01/2011"
"361","3","01/01/2011"
"50","4","01/01/2011"
"275","5","01/01/2011"
"783","6","01/01/2011"
"282","7","01/01/2011"
"561","8","01/01/2011"
"341","9","01/01/2011"
"774","10","01/01/2011"
"324","1","01/01/2014"
"361","2","01/01/2014"
"276","3","01/01/2014"
"561","4","01/01/2014"
"221","5","01/01/2014"
"281","6","01/01/2014"
"275","7","01/01/2014"
"344","8","01/01/2014"
"342","9","01/01/2014"
"323","10","01/01/2014"
