"ATA","Rank","Year"
"2735","1","01/01/1995"
"2221","2","01/01/1995"
"7830","3","01/01/1995"
"2763","4","01/01/1995"
"3261","5","01/01/1995"
"2211","6","01/01/1995"
"2421","7","01/01/1995"
"3241","8","01/01/1995"
"4960","9","01/01/1995"
"3242","10","01/01/1995"
"7830","1","01/01/1998"
"2735","2","01/01/1998"
"3240","3","01/01/1998"
"3610","4","01/01/1998"
"3611","5","01/01/1998"
"2910","6","01/01/1998"
"2420","7","01/01/1998"
"8011","8","01/01/1998"
"2740","9","01/01/1998"
"2720","10","01/01/1998"
"3240","1","01/01/2001"
"2910","2","01/01/2001"
"7830","3","01/01/2001"
"3610","4","01/01/2001"
"2210","5","01/01/2001"
"3021","6","01/01/2001"
"3210","7","01/01/2001"
"5610","8","01/01/2001"
"5210","9","01/01/2001"
"2735","10","01/01/2001"
"3240","1","01/01/2004"
"3610","2","01/01/2004"
"5210","3","01/01/2004"
"2210","4","01/01/2004"
"3830","5","01/01/2004"
"7830","6","01/01/2004"
"7230","7","01/01/2004"
"2150","8","01/01/2004"
"2900","9","01/01/2004"
"3413","10","01/01/2004"
"3611","1","01/01/2007"
"3240","2","01/01/2007"
"500","3","01/01/2007"
"3244","4","01/01/2007"
"3610","5","01/01/2007"
"2735","6","01/01/2007"
"2221","7","01/01/2007"
"7200","8","01/01/2007"
"3021","9","01/01/2007"
"2151","10","01/01/2007"
"2310","1","01/01/2010"
"5211","2","01/01/2010"
"3611","3","01/01/2010"
"3241","4","01/01/2010"
"3245","5","01/01/2010"
"2131","6","01/01/2010"
"2151","7","01/01/2010"
"3011","8","01/01/2010"
"2755","9","01/01/2010"
"2823","10","01/01/2010"
"3611","1","01/01/2013"
"3426","2","01/01/2013"
"5211","3","01/01/2013"
"2211","4","01/01/2013"
"3241","5","01/01/2013"
"2735","6","01/01/2013"
"2763","7","01/01/2013"
"3428","8","01/01/2013"
"2821","9","01/01/2013"
"3021","10","01/01/2013"
