"ATA","Rank","Year"
"342","1","01/01/2014"
"282","2","01/01/2014"
"221","3","01/01/2014"
"271","4","01/01/2014"
"361","5","01/01/2014"
"324","6","01/01/2014"
"281","7","01/01/2014"
"521","8","01/01/2014"
"783","9","01/01/2014"
"275","10","01/01/2014"
"276","1","01/01/2015"
"324","2","01/01/2015"
"361","3","01/01/2015"
"282","4","01/01/2015"
"342","5","01/01/2015"
"221","6","01/01/2015"
"783","7","01/01/2015"
"521","8","01/01/2015"
"272","9","01/01/2015"
"271","10","01/01/2015"
