"ATA","Rank","Year"
"6123","1","01/01/2011"
"2151","2","01/01/2011"
"7322","3","01/01/2011"
"7612","4","01/01/2011"
"8011","5","01/01/2011"
"3021","6","01/01/2011"
"2911","7","01/01/2011"
"500","8","01/01/2011"
"3011","9","01/01/2011"
"7711","10","01/01/2011"
"2752","1","01/01/2014"
"3021","2","01/01/2014"
"6110","3","01/01/2014"
"2433","4","01/01/2014"
"7322","5","01/01/2014"
"3421","6","01/01/2014"
"500","7","01/01/2014"
"3426","8","01/01/2014"
"3411","9","01/01/2014"
"6124","10","01/01/2014"
