"ATA","Rank","Year"
"7320","1","01/01/1988"
"2750","2","01/01/1988"
"3230","3","01/01/1988"
"8010","4","01/01/1988"
"3240","5","01/01/1988"
"6110","6","01/01/1988"
"6124","7","01/01/1988"
"7322","8","01/01/1988"
"7300","9","01/01/1988"
"3021","10","01/01/1988"
"6100","1","01/01/1989"
"7300","2","01/01/1989"
"2700","3","01/01/1989"
"3200","4","01/01/1989"
"3400","5","01/01/1989"
"7320","6","01/01/1989"
"2900","7","01/01/1989"
"7200","8","01/01/1989"
"7900","9","01/01/1989"
"7700","10","01/01/1989"
"7300","1","01/01/1990"
"7322","2","01/01/1990"
"7321","3","01/01/1990"
"3200","4","01/01/1990"
"3400","5","01/01/1990"
"3021","6","01/01/1990"
"2700","7","01/01/1990"
"8000","8","01/01/1990"
"8011","9","01/01/1990"
"2911","10","01/01/1990"
"7322","1","01/01/1991"
"8011","2","01/01/1991"
"7311","3","01/01/1991"
"3021","4","01/01/1991"
"2911","5","01/01/1991"
"7321","6","01/01/1991"
"6123","7","01/01/1991"
"6122","8","01/01/1991"
"3611","9","01/01/1991"
"6124","10","01/01/1991"
"7322","1","01/01/1992"
"7311","2","01/01/1992"
"2911","3","01/01/1992"
"3021","4","01/01/1992"
"3241","5","01/01/1992"
"6122","6","01/01/1992"
"7321","7","01/01/1992"
"8011","8","01/01/1992"
"2433","9","01/01/1992"
"3421","10","01/01/1992"
"7322","1","01/01/1993"
"2911","2","01/01/1993"
"7321","3","01/01/1993"
"3245","4","01/01/1993"
"7311","5","01/01/1993"
"6122","6","01/01/1993"
"3021","7","01/01/1993"
"2433","8","01/01/1993"
"8011","9","01/01/1993"
"6124","10","01/01/1993"
"7311","1","01/01/1994"
"7322","2","01/01/1994"
"8011","3","01/01/1994"
"2433","4","01/01/1994"
"2911","5","01/01/1994"
"3021","6","01/01/1994"
"6123","7","01/01/1994"
"3441","8","01/01/1994"
"7321","9","01/01/1994"
"3241","10","01/01/1994"
"3021","1","01/01/1995"
"7311","2","01/01/1995"
"3011","3","01/01/1995"
"7322","4","01/01/1995"
"3241","5","01/01/1995"
"2433","6","01/01/1995"
"2755","7","01/01/1995"
"7321","8","01/01/1995"
"2911","9","01/01/1995"
"6124","10","01/01/1995"
"3021","1","01/01/1996"
"7320","2","01/01/1996"
"3241","3","01/01/1996"
"8011","4","01/01/1996"
"7322","5","01/01/1996"
"6122","6","01/01/1996"
"6124","7","01/01/1996"
"3011","8","01/01/1996"
"7612","9","01/01/1996"
"3245","10","01/01/1996"
