"ATA","Rank","Date"
"34","1","01/01/2011"
"32","2","01/01/2011"
"5","3","01/01/2011"
"30","4","01/01/2011"
"33","5","01/01/2011"
"61","6","01/01/2011"
"52","7","01/01/2011"
"73","8","01/01/2011"
"24","9","01/01/2011"
"71","10","01/01/2011"
"34","1","01/04/2011"
"30","2","01/04/2011"
"32","3","01/04/2011"
"24","4","01/04/2011"
"29","5","01/04/2011"
"27","6","01/04/2011"
"77","7","01/04/2011"
"5","8","01/04/2011"
"23","9","01/04/2011"
"28","10","01/04/2011"
"34","1","01/07/2011"
"30","2","01/07/2011"
"32","3","01/07/2011"
"61","4","01/07/2011"
"73","5","01/07/2011"
"23","6","01/07/2011"
"24","7","01/07/2011"
"33","8","01/07/2011"
"29","9","01/07/2011"
"76","10","01/07/2011"
"34","1","01/10/2011"
"32","2","01/10/2011"
"30","3","01/10/2011"
"24","4","01/10/2011"
"73","5","01/10/2011"
"23","6","01/10/2011"
"76","7","01/10/2011"
"27","8","01/10/2011"
"61","9","01/10/2011"
"77","10","01/10/2011"
"34","1","01/01/2012"
"32","2","01/01/2012"
"61","3","01/01/2012"
"73","4","01/01/2012"
"77","5","01/01/2012"
"29","6","01/01/2012"
"30","7","01/01/2012"
"76","8","01/01/2012"
"27","9","01/01/2012"
"23","10","01/01/2012"
"61","1","01/04/2012"
"32","2","01/04/2012"
"34","3","01/04/2012"
"73","4","01/04/2012"
"24","5","01/04/2012"
"28","6","01/04/2012"
"30","7","01/04/2012"
"72","8","01/04/2012"
"27","9","01/04/2012"
"29","10","01/04/2012"
"34","1","01/07/2012"
"32","2","01/07/2012"
"61","3","01/07/2012"
"33","4","01/07/2012"
"73","5","01/07/2012"
"77","6","01/07/2012"
"30","7","01/07/2012"
"23","8","01/07/2012"
"29","9","01/07/2012"
"76","10","01/07/2012"
"34","1","01/10/2012"
"32","2","01/10/2012"
"30","3","01/10/2012"
"61","4","01/10/2012"
"77","5","01/10/2012"
"33","6","01/10/2012"
"29","7","01/10/2012"
"52","8","01/10/2012"
"56","9","01/10/2012"
"21","10","01/10/2012"
"32","1","01/01/2013"
"34","2","01/01/2013"
"29","3","01/01/2013"
"21","4","01/01/2013"
"77","5","01/01/2013"
"61","6","01/01/2013"
"73","7","01/01/2013"
"27","8","01/01/2013"
"52","9","01/01/2013"
"76","10","01/01/2013"
"34","1","01/04/2013"
"30","2","01/04/2013"
"32","3","01/04/2013"
"61","4","01/04/2013"
"73","5","01/04/2013"
"27","6","01/04/2013"
"29","7","01/04/2013"
"52","8","01/04/2013"
"77","9","01/04/2013"
"79","10","01/04/2013"
"34","1","01/07/2013"
"5","2","01/07/2013"
"61","3","01/07/2013"
"30","4","01/07/2013"
"73","5","01/07/2013"
"32","6","01/07/2013"
"29","7","01/07/2013"
"28","8","01/07/2013"
"24","9","01/07/2013"
"27","10","01/07/2013"
"34","1","01/10/2013"
"32","2","01/10/2013"
"24","3","01/10/2013"
"27","4","01/10/2013"
"29","5","01/10/2013"
"21","6","01/10/2013"
"30","7","01/10/2013"
"56","8","01/10/2013"
"23","9","01/10/2013"
"52","10","01/10/2013"
"34","1","01/01/2014"
"32","2","01/01/2014"
"5","3","01/01/2014"
"24","4","01/01/2014"
"25","5","01/01/2014"
"27","6","01/01/2014"
"30","7","01/01/2014"
"73","8","01/01/2014"
"23","9","01/01/2014"
"29","10","01/01/2014"
"34","1","01/04/2014"
"73","2","01/04/2014"
"32","3","01/04/2014"
"24","4","01/04/2014"
"33","5","01/04/2014"
"61","6","01/04/2014"
"29","7","01/04/2014"
"23","8","01/04/2014"
"30","9","01/04/2014"
"52","10","01/04/2014"
"34","1","01/07/2014"
"61","2","01/07/2014"
"32","3","01/07/2014"
"24","4","01/07/2014"
"25","5","01/07/2014"
"29","6","01/07/2014"
"23","7","01/07/2014"
"79","8","01/07/2014"
"27","9","01/07/2014"
"28","10","01/07/2014"
"34","1","01/10/2014"
"61","2","01/10/2014"
"24","3","01/10/2014"
"23","4","01/10/2014"
"73","5","01/10/2014"
"28","6","01/10/2014"
"32","7","01/10/2014"
"27","8","01/10/2014"
"30","9","01/10/2014"
"71","10","01/10/2014"
"24","1","01/01/2015"
"34","2","01/01/2015"
"32","3","01/01/2015"
"77","4","01/01/2015"
"29","5","01/01/2015"
"61","6","01/01/2015"
"52","7","01/01/2015"
"33","8","01/01/2015"
"73","9","01/01/2015"
"30","10","01/01/2015"
"34","1","01/04/2015"
"24","2","01/04/2015"
"61","3","01/04/2015"
"71","4","01/04/2015"
"30","5","01/04/2015"
"33","6","01/04/2015"
"28","7","01/04/2015"
"29","8","01/04/2015"
"23","9","01/04/2015"
"32","10","01/04/2015"
"34","1","01/07/2015"
"32","2","01/07/2015"
"21","3","01/07/2015"
"56","4","01/07/2015"
"61","5","01/07/2015"
"24","6","01/07/2015"
"27","7","01/07/2015"
"33","8","01/07/2015"
"73","9","01/07/2015"
"77","10","01/07/2015"
"34","1","01/10/2015"
"27","2","01/10/2015"
"32","3","01/10/2015"
"73","4","01/10/2015"
"77","5","01/10/2015"
"30","6","01/10/2015"
"33","7","01/10/2015"
"36","8","01/10/2015"
"71","9","01/10/2015"
"24","10","01/10/2015"
