"ATA","Rank","Date"
"32","1","01/01/2011"
"34","2","01/01/2011"
"30","3","01/01/2011"
"61","4","01/01/2011"
"73","5","01/01/2011"
"76","6","01/01/2011"
"80","7","01/01/2011"
"24","8","01/01/2011"
"23","9","01/01/2011"
"52","10","01/01/2011"
"61","1","01/01/2012"
"34","2","01/01/2012"
"32","3","01/01/2012"
"29","4","01/01/2012"
"73","5","01/01/2012"
"77","6","01/01/2012"
"30","7","01/01/2012"
"76","8","01/01/2012"
"72","9","01/01/2012"
"56","10","01/01/2012"
"34","1","01/01/2013"
"21","2","01/01/2013"
"61","3","01/01/2013"
"32","4","01/01/2013"
"30","5","01/01/2013"
"27","6","01/01/2013"
"73","7","01/01/2013"
"80","8","01/01/2013"
"29","9","01/01/2013"
"24","10","01/01/2013"
"34","1","01/01/2014"
"61","2","01/01/2014"
"32","3","01/01/2014"
"73","4","01/01/2014"
"24","5","01/01/2014"
"27","6","01/01/2014"
"28","7","01/01/2014"
"5","8","01/01/2014"
"30","9","01/01/2014"
"35","10","01/01/2014"
"34","1","01/01/2015"
"30","2","01/01/2015"
"32","3","01/01/2015"
"77","4","01/01/2015"
"29","5","01/01/2015"
"73","6","01/01/2015"
"61","7","01/01/2015"
"24","8","01/01/2015"
"56","9","01/01/2015"
"21","10","01/01/2015"
