"ATA","Rank","Date"
"34","1","01/01/2014"
"35","2","01/01/2014"
"76","3","01/01/2014"
"5","4","01/01/2014"
"32","5","01/01/2014"
"27","6","01/01/2014"
"30","7","01/01/2014"
"61","8","01/01/2014"
"56","9","01/01/2014"
"73","10","01/01/2014"
"34","1","01/04/2014"
"73","2","01/04/2014"
"32","3","01/04/2014"
"79","4","01/04/2014"
"28","5","01/04/2014"
"52","6","01/04/2014"
"30","7","01/04/2014"
"61","8","01/04/2014"
"24","9","01/04/2014"
"29","10","01/04/2014"
"61","1","01/07/2014"
"34","2","01/07/2014"
"32","3","01/07/2014"
"24","4","01/07/2014"
"29","5","01/07/2014"
"79","6","01/07/2014"
"27","7","01/07/2014"
"25","8","01/07/2014"
"26","9","01/07/2014"
"28","10","01/07/2014"
"24","1","01/10/2014"
"34","2","01/10/2014"
"28","3","01/10/2014"
"5","4","01/10/2014"
"61","5","01/10/2014"
"27","6","01/10/2014"
"73","7","01/10/2014"
"30","8","01/10/2014"
"32","9","01/10/2014"
"71","10","01/10/2014"
"30","1","01/01/2015"
"77","2","01/01/2015"
"34","3","01/01/2015"
"32","4","01/01/2015"
"29","5","01/01/2015"
"24","6","01/01/2015"
"61","7","01/01/2015"
"73","8","01/01/2015"
"79","9","01/01/2015"
"33","10","01/01/2015"
"34","1","01/04/2015"
"30","2","01/04/2015"
"61","3","01/04/2015"
"71","4","01/04/2015"
"29","5","01/04/2015"
"24","6","01/04/2015"
"5","7","01/04/2015"
"52","8","01/04/2015"
"23","9","01/04/2015"
"32","10","01/04/2015"
"21","1","01/07/2015"
"34","2","01/07/2015"
"56","3","01/07/2015"
"32","4","01/07/2015"
"30","5","01/07/2015"
"73","6","01/07/2015"
"29","7","01/07/2015"
"77","8","01/07/2015"
"61","9","01/07/2015"
"24","10","01/07/2015"
"32","1","01/10/2015"
"56","2","01/10/2015"
"73","3","01/10/2015"
"34","4","01/10/2015"
"77","5","01/10/2015"
"27","6","01/10/2015"
"25","7","01/10/2015"
"33","8","01/10/2015"
"71","9","01/10/2015"
"28","10","01/10/2015"
