"ATA","Rank","Year"
"732","1","01/01/1988"
"612","2","01/01/1988"
"275","3","01/01/1988"
"323","4","01/01/1988"
"302","5","01/01/1988"
"324","6","01/01/1988"
"771","7","01/01/1988"
"611","8","01/01/1988"
"273","9","01/01/1988"
"342","10","01/01/1988"
"610","1","01/01/1989"
"732","2","01/01/1989"
"730","3","01/01/1989"
"270","4","01/01/1989"
"320","5","01/01/1989"
"340","6","01/01/1989"
"290","7","01/01/1989"
"720","8","01/01/1989"
"790","9","01/01/1989"
"770","10","01/01/1989"
"732","1","01/01/1990"
"730","2","01/01/1990"
"324","3","01/01/1990"
"612","4","01/01/1990"
"320","5","01/01/1990"
"340","6","01/01/1990"
"342","7","01/01/1990"
"270","8","01/01/1990"
"291","9","01/01/1990"
"302","10","01/01/1990"
"732","1","01/01/1991"
"612","2","01/01/1991"
"324","3","01/01/1991"
"291","4","01/01/1991"
"731","5","01/01/1991"
"302","6","01/01/1991"
"293","7","01/01/1991"
"793","8","01/01/1991"
"273","9","01/01/1991"
"342","10","01/01/1991"
"732","1","01/01/1992"
"324","2","01/01/1992"
"612","3","01/01/1992"
"731","4","01/01/1992"
"291","5","01/01/1992"
"302","6","01/01/1992"
"342","7","01/01/1992"
"243","8","01/01/1992"
"792","9","01/01/1992"
"344","10","01/01/1992"
"732","1","01/01/1993"
"612","2","01/01/1993"
"324","3","01/01/1993"
"291","4","01/01/1993"
"243","5","01/01/1993"
"771","6","01/01/1993"
"731","7","01/01/1993"
"344","8","01/01/1993"
"302","9","01/01/1993"
"273","10","01/01/1993"
"612","1","01/01/1994"
"732","2","01/01/1994"
"731","3","01/01/1994"
"324","4","01/01/1994"
"291","5","01/01/1994"
"243","6","01/01/1994"
"344","7","01/01/1994"
"302","8","01/01/1994"
"771","9","01/01/1994"
"342","10","01/01/1994"
"324","1","01/01/1995"
"732","2","01/01/1995"
"612","3","01/01/1995"
"302","4","01/01/1995"
"731","5","01/01/1995"
"301","6","01/01/1995"
"291","7","01/01/1995"
"243","8","01/01/1995"
"771","9","01/01/1995"
"273","10","01/01/1995"
"732","1","01/01/1996"
"324","2","01/01/1996"
"612","3","01/01/1996"
"302","4","01/01/1996"
"291","5","01/01/1996"
"771","6","01/01/1996"
"301","7","01/01/1996"
"341","8","01/01/1996"
"761","9","01/01/1996"
"243","10","01/01/1996"
"732","1","01/01/1997"
"324","2","01/01/1997"
"612","3","01/01/1997"
"302","4","01/01/1997"
"731","5","01/01/1997"
"243","6","01/01/1997"
"291","7","01/01/1997"
"273","8","01/01/1997"
