"ATA","Rank","Year"
"2752","1","01/01/2014"
"3521","2","01/01/2014"
"7612","3","01/01/2014"
"500","4","01/01/2014"
"3411","5","01/01/2014"
"7322","6","01/01/2014"
"3421","7","01/01/2014"
"3426","8","01/01/2014"
"7321","9","01/01/2014"
"6110","10","01/01/2014"
"6110","1","01/07/2014"
"2433","2","01/07/2014"
"3421","3","01/07/2014"
"2841","4","01/07/2014"
"3021","5","01/07/2014"
"3426","6","01/07/2014"
"500","7","01/07/2014"
"3244","8","01/07/2014"
"2736","9","01/07/2014"
"2411","10","01/07/2014"
"3031","1","01/01/2015"
"7713","2","01/01/2015"
"3021","3","01/01/2015"
"6124","4","01/01/2015"
"3413","5","01/01/2015"
"2433","6","01/01/2015"
"2910","7","01/01/2015"
"7163","8","01/01/2015"
"7711","9","01/01/2015"
"5211","10","01/01/2015"
"2151","1","01/07/2015"
"5611","2","01/07/2015"
"7721","3","01/07/2015"
"7311","4","01/07/2015"
"3021","5","01/07/2015"
"3221","6","01/07/2015"
"3211","7","01/07/2015"
"3411","8","01/07/2015"
"2900","9","01/07/2015"
"3611","10","01/07/2015"
