"ATA","Rank","Date"
"27","1","01/01/2014"
"32","2","01/01/2014"
"28","3","01/01/2014"
"29","4","01/01/2014"
"56","5","01/01/2014"
"72","6","01/01/2014"
"78","7","01/01/2014"
"52","8","01/01/2014"
"73","9","01/01/2014"
"21","10","01/01/2014"
"32","1","01/07/2014"
"27","2","01/07/2014"
"30","3","01/07/2014"
"21","4","01/07/2014"
"36","5","01/07/2014"
"25","6","01/07/2014"
"29","7","01/07/2014"
"22","8","01/07/2014"
"28","9","01/07/2014"
"34","10","01/07/2014"
"32","1","01/01/2015"
"29","2","01/01/2015"
"27","3","01/01/2015"
"30","4","01/01/2015"
"21","5","01/01/2015"
"34","6","01/01/2015"
"24","7","01/01/2015"
"49","8","01/01/2015"
"56","9","01/01/2015"
"71","10","01/01/2015"
"27","1","01/07/2015"
"28","2","01/07/2015"
"29","3","01/07/2015"
"32","4","01/07/2015"
"74","5","01/07/2015"
"34","6","01/07/2015"
"56","7","01/07/2015"
"72","8","01/07/2015"
"21","9","01/07/2015"
"22","10","01/07/2015"
