"ATA","Rank","Date"
"27","1","01/01/2014"
"32","2","01/01/2014"
"52","3","01/01/2014"
"21","4","01/01/2014"
"28","5","01/01/2014"
"36","6","01/01/2014"
"5","7","01/01/2014"
"24","8","01/01/2014"
"31","9","01/01/2014"
"34","10","01/01/2014"
"27","1","01/07/2014"
"32","2","01/07/2014"
"34","3","01/07/2014"
"21","4","01/07/2014"
"29","5","01/07/2014"
"24","6","01/07/2014"
"26","7","01/07/2014"
"28","8","01/07/2014"
"36","9","01/07/2014"
"38","10","01/07/2014"
"27","1","01/01/2015"
"5","2","01/01/2015"
"52","3","01/01/2015"
"21","4","01/01/2015"
"22","5","01/01/2015"
"24","6","01/01/2015"
"25","7","01/01/2015"
"28","8","01/01/2015"
"29","9","01/01/2015"
"30","10","01/01/2015"
"32","1","01/07/2015"
"52","2","01/07/2015"
"29","3","01/07/2015"
"27","4","01/07/2015"
"21","5","01/07/2015"
"24","6","01/07/2015"
"28","7","01/07/2015"
"49","8","01/07/2015"
"53","9","01/07/2015"
"79","10","01/07/2015"
