"ATA","Rank","Year"
"273","1","01/01/1995"
"242","2","01/01/1995"
"324","3","01/01/1995"
"221","4","01/01/1995"
"222","5","01/01/1995"
"274","6","01/01/1995"
"342","7","01/01/1995"
"783","8","01/01/1995"
"360","9","01/01/1995"
"326","10","01/01/1995"
"324","1","01/01/1996"
"276","2","01/01/1996"
"282","3","01/01/1996"
"273","4","01/01/1996"
"222","5","01/01/1996"
"272","6","01/01/1996"
"242","7","01/01/1996"
"221","8","01/01/1996"
"774","9","01/01/1996"
"496","10","01/01/1996"
"273","1","01/01/1997"
"324","2","01/01/1997"
"281","3","01/01/1997"
"783","4","01/01/1997"
"275","5","01/01/1997"
"276","6","01/01/1997"
"326","7","01/01/1997"
"223","8","01/01/1997"
"222","9","01/01/1997"
"271","10","01/01/1997"
"324","1","01/01/1998"
"273","2","01/01/1998"
"272","3","01/01/1998"
"361","4","01/01/1998"
"291","5","01/01/1998"
"326","6","01/01/1998"
"783","7","01/01/1998"
"222","8","01/01/1998"
"521","9","01/01/1998"
"276","10","01/01/1998"
"783","1","01/01/1999"
"291","2","01/01/1999"
"324","3","01/01/1999"
"361","4","01/01/1999"
"273","5","01/01/1999"
"274","6","01/01/1999"
"271","7","01/01/1999"
"282","8","01/01/1999"
"281","9","01/01/1999"
"774","10","01/01/1999"
"783","1","01/01/2000"
"324","2","01/01/2000"
"273","3","01/01/2000"
"361","4","01/01/2000"
"342","5","01/01/2000"
"242","6","01/01/2000"
"221","7","01/01/2000"
"326","8","01/01/2000"
"323","9","01/01/2000"
"281","10","01/01/2000"
"783","1","01/01/2001"
"324","2","01/01/2001"
"291","3","01/01/2001"
"302","4","01/01/2001"
"221","5","01/01/2001"
"215","6","01/01/2001"
"282","7","01/01/2001"
"326","8","01/01/2001"
"274","9","01/01/2001"
"561","10","01/01/2001"
"324","1","01/01/2002"
"361","2","01/01/2002"
"291","3","01/01/2002"
"221","4","01/01/2002"
"273","5","01/01/2002"
"282","6","01/01/2002"
"321","7","01/01/2002"
"342","8","01/01/2002"
"242","9","01/01/2002"
"561","10","01/01/2002"
"324","1","01/01/2003"
"321","2","01/01/2003"
"361","3","01/01/2003"
"221","4","01/01/2003"
"291","5","01/01/2003"
"273","6","01/01/2003"
"302","7","01/01/2003"
"521","8","01/01/2003"
"241","9","01/01/2003"
"783","10","01/01/2003"
"324","1","01/01/2004"
"383","2","01/01/2004"
"521","3","01/01/2004"
"341","4","01/01/2004"
"361","5","01/01/2004"
"723","6","01/01/2004"
"221","7","01/01/2004"
"783","8","01/01/2004"
"215","9","01/01/2004"
"290","10","01/01/2004"
"324","1","01/01/2005"
"326","2","01/01/2005"
"212","3","01/01/2005"
"361","4","01/01/2005"
"221","5","01/01/2005"
"282","6","01/01/2005"
"774","7","01/01/2005"
"521","8","01/01/2005"
"273","9","01/01/2005"
"290","10","01/01/2005"
"324","1","01/01/2006"
"361","2","01/01/2006"
"521","3","01/01/2006"
"221","4","01/01/2006"
"783","5","01/01/2006"
"215","6","01/01/2006"
"291","7","01/01/2006"
"383","8","01/01/2006"
"342","9","01/01/2006"
"222","10","01/01/2006"
"324","1","01/01/2007"
"361","2","01/01/2007"
"342","3","01/01/2007"
"221","4","01/01/2007"
"284","5","01/01/2007"
"252","6","01/01/2007"
"282","7","01/01/2007"
"521","8","01/01/2007"
"346","9","01/01/2007"
"273","10","01/01/2007"
"324","1","01/01/2008"
"50","2","01/01/2008"
"720","3","01/01/2008"
"342","4","01/01/2008"
"276","5","01/01/2008"
"361","6","01/01/2008"
"341","7","01/01/2008"
"344","8","01/01/2008"
"282","9","01/01/2008"
"323","10","01/01/2008"
"324","1","01/01/2009"
"361","2","01/01/2009"
"276","3","01/01/2009"
"281","4","01/01/2009"
"275","5","01/01/2009"
"50","6","01/01/2009"
"215","7","01/01/2009"
"521","8","01/01/2009"
"302","9","01/01/2009"
"213","10","01/01/2009"
"231","1","01/01/2010"
"324","2","01/01/2010"
"521","3","01/01/2010"
"301","4","01/01/2010"
"275","5","01/01/2010"
"341","6","01/01/2010"
"361","7","01/01/2010"
"213","8","01/01/2010"
"221","9","01/01/2010"
"783","10","01/01/2010"
"324","1","01/01/2011"
"361","2","01/01/2011"
"521","3","01/01/2011"
"282","4","01/01/2011"
"326","5","01/01/2011"
"342","6","01/01/2011"
"275","7","01/01/2011"
"276","8","01/01/2011"
"783","9","01/01/2011"
"215","10","01/01/2011"
"324","1","01/01/2012"
"326","2","01/01/2012"
"521","3","01/01/2012"
"291","4","01/01/2012"
"342","5","01/01/2012"
"361","6","01/01/2012"
"323","7","01/01/2012"
"282","8","01/01/2012"
"213","9","01/01/2012"
"276","10","01/01/2012"
"324","1","01/01/2013"
"361","2","01/01/2013"
"342","3","01/01/2013"
"521","4","01/01/2013"
"273","5","01/01/2013"
"783","6","01/01/2013"
"291","7","01/01/2013"
"302","8","01/01/2013"
"235","9","01/01/2013"
"276","10","01/01/2013"
"342","1","01/01/2014"
"282","2","01/01/2014"
"221","3","01/01/2014"
"271","4","01/01/2014"
"361","5","01/01/2014"
"324","6","01/01/2014"
"281","7","01/01/2014"
"521","8","01/01/2014"
"783","9","01/01/2014"
"275","10","01/01/2014"
"276","1","01/01/2015"
"324","2","01/01/2015"
"361","3","01/01/2015"
"282","4","01/01/2015"
"342","5","01/01/2015"
"221","6","01/01/2015"
"783","7","01/01/2015"
"521","8","01/01/2015"
"272","9","01/01/2015"
"271","10","01/01/2015"
