"ATA","Rank","Date"
"7","1","01/01/2011"
"56","2","01/01/2011"
"73","3","01/01/2011"
"30","4","01/01/2011"
"5","5","01/01/2011"
"27","6","01/01/2011"
"76","7","01/01/2011"
"72","8","01/01/2011"
"28","9","01/01/2011"
"77","10","01/01/2011"
"75","1","01/07/2011"
"73","2","01/07/2011"
"72","3","01/07/2011"
"76","4","01/07/2011"
"27","5","01/07/2011"
"24","6","01/07/2011"
"32","7","01/07/2011"
"21","8","01/07/2011"
"29","9","01/07/2011"
"57","10","01/07/2011"
"57","1","01/01/2012"
"71","2","01/01/2012"
"72","3","01/01/2012"
"36","4","01/01/2012"
"75","5","01/01/2012"
"77","6","01/01/2012"
"24","7","01/01/2012"
"29","8","01/01/2012"
"32","9","01/01/2012"
"27","10","01/01/2012"
"56","1","01/07/2012"
"57","2","01/07/2012"
"27","3","01/07/2012"
"29","4","01/07/2012"
"32","5","01/07/2012"
"77","6","01/07/2012"
"72","7","01/07/2012"
"36","8","01/07/2012"
"28","9","01/07/2012"
"73","10","01/07/2012"
"54","1","01/01/2013"
"75","2","01/01/2013"
"72","3","01/01/2013"
"71","4","01/01/2013"
"76","5","01/01/2013"
"79","6","01/01/2013"
"29","7","01/01/2013"
"53","8","01/01/2013"
"32","9","01/01/2013"
"30","10","01/01/2013"
"79","1","01/07/2013"
"73","2","01/07/2013"
"74","3","01/07/2013"
"27","4","01/07/2013"
"32","5","01/07/2013"
"34","6","01/07/2013"
"30","7","01/07/2013"
"76","8","01/07/2013"
"78","9","01/07/2013"
"21","10","01/07/2013"
"54","1","01/01/2014"
"76","2","01/01/2014"
"78","3","01/01/2014"
"73","4","01/01/2014"
"72","5","01/01/2014"
"71","6","01/01/2014"
"28","7","01/01/2014"
"56","8","01/01/2014"
"52","9","01/01/2014"
"32","10","01/01/2014"
"75","1","01/07/2014"
"57","2","01/07/2014"
"26","3","01/07/2014"
"36","4","01/07/2014"
"56","5","01/07/2014"
"30","6","01/07/2014"
"27","7","01/07/2014"
"25","8","01/07/2014"
"73","9","01/07/2014"
"74","10","01/07/2014"
"75","1","01/01/2015"
"29","2","01/01/2015"
"30","3","01/01/2015"
"31","4","01/01/2015"
"35","5","01/01/2015"
"79","6","01/01/2015"
"32","7","01/01/2015"
"56","8","01/01/2015"
"72","9","01/01/2015"
"71","10","01/01/2015"
"75","1","01/07/2015"
"53","2","01/07/2015"
"74","3","01/07/2015"
"72","4","01/07/2015"
"76","5","01/07/2015"
"29","6","01/07/2015"
"56","7","01/07/2015"
"28","8","01/07/2015"
"77","9","01/07/2015"
"78","10","01/07/2015"
