"ATA","Rank","Year"
"2823","1","01/01/2011"
"3400","2","01/01/2011"
"2461","3","01/01/2011"
"3428","4","01/01/2011"
"2441","5","01/01/2011"
"2126","6","01/01/2011"
"2131","7","01/01/2011"
"3261","8","01/01/2011"
"3262","9","01/01/2011"
"2511","10","01/01/2011"
"3244","1","01/04/2011"
"3611","2","01/04/2011"
"3245","3","01/04/2011"
"2922","4","01/04/2011"
"2151","5","01/04/2011"
"5211","6","01/04/2011"
"2441","7","01/04/2011"
"3241","8","01/04/2011"
"7100","9","01/04/2011"
"7800","10","01/04/2011"
"5211","1","01/07/2011"
"2765","2","01/07/2011"
"2151","3","01/07/2011"
"3261","4","01/07/2011"
"3611","5","01/07/2011"
"2131","6","01/07/2011"
"3141","7","01/07/2011"
"3263","8","01/07/2011"
"2411","9","01/07/2011"
"2130","10","01/07/2011"
"3613","1","01/10/2011"
"7830","2","01/10/2011"
"2755","3","01/10/2011"
"2823","4","01/10/2011"
"3241","5","01/10/2011"
"2735","6","01/10/2011"
"3422","7","01/10/2011"
"3461","8","01/10/2011"
"3611","9","01/10/2011"
"3140","10","01/10/2011"
"2911","1","01/01/2012"
"3461","2","01/01/2012"
"3021","3","01/01/2012"
"3245","4","01/01/2012"
"7830","5","01/01/2012"
"3263","6","01/01/2012"
"3611","7","01/01/2012"
"2823","8","01/01/2012"
"5211","9","01/01/2012"
"3812","10","01/01/2012"
"2231","1","01/04/2012"
"3245","2","01/04/2012"
"5211","3","01/04/2012"
"2765","4","01/04/2012"
"3261","5","01/04/2012"
"3422","6","01/04/2012"
"2221","7","01/04/2012"
"2400","8","01/04/2012"
"2411","9","01/04/2012"
"2821","10","01/04/2012"
"3611","1","01/07/2012"
"3262","2","01/07/2012"
"2131","3","01/07/2012"
"3831","4","01/07/2012"
"2411","5","01/07/2012"
"2910","6","01/07/2012"
"5211","7","01/07/2012"
"3232","8","01/07/2012"
"7200","9","01/07/2012"
"3412","10","01/07/2012"
"5211","1","01/10/2012"
"3241","2","01/10/2012"
"3262","3","01/10/2012"
"2312","4","01/10/2012"
"3011","5","01/10/2012"
"5760","6","01/10/2012"
"3426","7","01/10/2012"
"3611","8","01/10/2012"
"2221","9","01/10/2012"
"3031","10","01/10/2012"
"3426","1","01/01/2013"
"3611","2","01/01/2013"
"3041","3","01/01/2013"
"3021","4","01/01/2013"
"3300","5","01/01/2013"
"2735","6","01/01/2013"
"2521","7","01/01/2013"
"2712","8","01/01/2013"
"5211","9","01/01/2013"
"2211","10","01/01/2013"
"7832","1","01/04/2013"
"2765","2","01/04/2013"
"5211","3","01/04/2013"
"3121","4","01/04/2013"
"3021","5","01/04/2013"
"7321","6","01/04/2013"
"2722","7","01/04/2013"
"3244","8","01/04/2013"
"5741","9","01/04/2013"
"3461","10","01/04/2013"
"3611","1","01/07/2013"
"2351","2","01/07/2013"
"3245","3","01/07/2013"
"5211","4","01/07/2013"
"2511","5","01/07/2013"
"3211","6","01/07/2013"
"2431","7","01/07/2013"
"2312","8","01/07/2013"
"2536","9","01/07/2013"
"2910","10","01/07/2013"
"3611","1","01/10/2013"
"3426","2","01/10/2013"
"2735","3","01/10/2013"
"3454","4","01/10/2013"
"7747","5","01/10/2013"
"2151","6","01/10/2013"
"3461","7","01/10/2013"
"2815","8","01/10/2013"
"3422","9","01/10/2013"
"3221","10","01/10/2013"
"2823","1","01/01/2014"
"7835","2","01/01/2014"
"3426","3","01/01/2014"
"3211","4","01/01/2014"
"2911","5","01/01/2014"
"7741","6","01/01/2014"
"2351","7","01/01/2014"
"2211","8","01/01/2014"
"2735","9","01/01/2014"
"3141","10","01/01/2014"
"3426","1","01/04/2014"
"3428","2","01/04/2014"
"2714","3","01/04/2014"
"2755","4","01/04/2014"
"2811","5","01/04/2014"
"2151","6","01/04/2014"
"5211","7","01/04/2014"
"2821","8","01/04/2014"
"5251","9","01/04/2014"
"2713","10","01/04/2014"
"2755","1","01/07/2014"
"3412","2","01/07/2014"
"2211","3","01/07/2014"
"3426","4","01/07/2014"
"3232","5","01/07/2014"
"3611","6","01/07/2014"
"3242","7","01/07/2014"
"2821","8","01/07/2014"
"5221","9","01/07/2014"
"2426","10","01/07/2014"
"2500","1","01/10/2014"
"2362","2","01/10/2014"
"2211","3","01/10/2014"
"3611","4","01/10/2014"
"2432","5","01/10/2014"
"4942","6","01/10/2014"
"3262","7","01/10/2014"
"3242","8","01/10/2014"
"5211","9","01/10/2014"
"2431","10","01/10/2014"
"2743","1","01/01/2015"
"2211","2","01/01/2015"
"3611","3","01/01/2015"
"4942","4","01/01/2015"
"3141","5","01/01/2015"
"2900","6","01/01/2015"
"3428","7","01/01/2015"
"2530","8","01/01/2015"
"2612","9","01/01/2015"
"5211","10","01/01/2015"
"7830","1","01/04/2015"
"3241","2","01/04/2015"
"5613","3","01/04/2015"
"3611","4","01/04/2015"
"3461","5","01/04/2015"
"5211","6","01/04/2015"
"2712","7","01/04/2015"
"3232","8","01/04/2015"
"3411","9","01/04/2015"
"2722","10","01/04/2015"
"2821","1","01/07/2015"
"3812","2","01/07/2015"
"3611","3","01/07/2015"
"3262","4","01/07/2015"
"3232","5","01/07/2015"
"3428","6","01/07/2015"
"5211","7","01/07/2015"
"2211","8","01/07/2015"
"3352","9","01/07/2015"
"2812","10","01/07/2015"
"2763","1","01/10/2015"
"3241","2","01/10/2015"
"2211","3","01/10/2015"
"3428","4","01/10/2015"
"2221","5","01/10/2015"
"3426","6","01/10/2015"
"2735","7","01/10/2015"
"3611","8","01/10/2015"
"3031","9","01/10/2015"
"3021","10","01/10/2015"
