"ATA","Rank","Year"
"2211","1","01/01/2014"
"3611","2","01/01/2014"
"3242","3","01/01/2014"
"8011","4","01/01/2014"
"3241","5","01/01/2014"
"5611","6","01/01/2014"
"4910","7","01/01/2014"
"500","8","01/01/2014"
"3011","9","01/01/2014"
"2131","10","01/01/2014"
"3611","1","01/01/2015"
"3232","2","01/01/2015"
"2211","3","01/01/2015"
"7421","4","01/01/2015"
"3021","5","01/01/2015"
"7311","6","01/01/2015"
"5613","7","01/01/2015"
"3011","8","01/01/2015"
"2131","9","01/01/2015"
"3428","10","01/01/2015"
