"ATA","Rank","Date"
"32","1","01/01/2011"
"21","2","01/01/2011"
"36","3","01/01/2011"
"22","4","01/01/2011"
"34","5","01/01/2011"
"27","6","01/01/2011"
"78","7","01/01/2011"
"33","8","01/01/2011"
"31","9","01/01/2011"
"29","10","01/01/2011"
"27","1","04/01/2011"
"32","2","04/01/2011"
"29","3","04/01/2011"
"24","4","04/01/2011"
"49","5","04/01/2011"
"36","6","04/01/2011"
"34","7","04/01/2011"
"25","8","04/01/2011"
"21","9","04/01/2011"
"22","10","04/01/2011"
"29","1","07/01/2011"
"34","2","07/01/2011"
"32","3","07/01/2011"
"21","4","07/01/2011"
"27","5","07/01/2011"
"49","6","07/01/2011"
"28","7","07/01/2011"
"30","8","07/01/2011"
"5","9","07/01/2011"
"56","10","07/01/2011"
"32","1","10/01/2011"
"27","2","10/01/2011"
"34","3","10/01/2011"
"21","4","10/01/2011"
"30","5","10/01/2011"
"5","6","10/01/2011"
"56","7","10/01/2011"
"29","8","10/01/2011"
"31","9","10/01/2011"
"33","10","10/01/2011"
"32","1","01/01/2012"
"27","2","01/01/2012"
"28","3","01/01/2012"
"34","4","01/01/2012"
"77","5","01/01/2012"
"71","6","01/01/2012"
"38","7","01/01/2012"
"36","8","01/01/2012"
"23","9","01/01/2012"
"31","10","01/01/2012"
"27","1","04/01/2012"
"32","2","04/01/2012"
"28","3","04/01/2012"
"56","4","04/01/2012"
"31","5","04/01/2012"
"22","6","04/01/2012"
"34","7","04/01/2012"
"78","8","04/01/2012"
"21","9","04/01/2012"
"73","10","04/01/2012"
"32","1","07/01/2012"
"34","2","07/01/2012"
"27","3","07/01/2012"
"28","4","07/01/2012"
"24","5","07/01/2012"
"21","6","07/01/2012"
"36","7","07/01/2012"
"22","8","07/01/2012"
"49","9","07/01/2012"
"77","10","07/01/2012"
"32","1","10/01/2012"
"27","2","10/01/2012"
"21","3","10/01/2012"
"34","4","10/01/2012"
"28","5","10/01/2012"
"5","6","10/01/2012"
"29","7","10/01/2012"
"49","8","10/01/2012"
"31","9","10/01/2012"
"24","10","10/01/2012"
"32","1","01/01/2013"
"27","2","01/01/2013"
"34","3","01/01/2013"
"49","4","01/01/2013"
"21","5","01/01/2013"
"28","6","01/01/2013"
"5","7","01/01/2013"
"22","8","01/01/2013"
"29","9","01/01/2013"
"36","10","01/01/2013"
"27","1","04/01/2013"
"34","2","04/01/2013"
"32","3","04/01/2013"
"29","4","04/01/2013"
"36","5","04/01/2013"
"5","6","04/01/2013"
"22","7","04/01/2013"
"52","8","04/01/2013"
"77","9","04/01/2013"
"25","10","04/01/2013"
"32","1","07/01/2013"
"28","2","07/01/2013"
"5","3","07/01/2013"
"27","4","07/01/2013"
"34","5","07/01/2013"
"77","6","07/01/2013"
"24","7","07/01/2013"
"29","8","07/01/2013"
"31","9","07/01/2013"
"22","10","07/01/2013"
"30","1","10/01/2013"
"32","2","10/01/2013"
"36","3","10/01/2013"
"27","4","10/01/2013"
"29","5","10/01/2013"
"5","6","10/01/2013"
"34","7","10/01/2013"
"49","8","10/01/2013"
"31","9","10/01/2013"
"21","10","10/01/2013"
"34","1","01/01/2014"
"27","2","01/01/2014"
"32","3","01/01/2014"
"56","4","01/01/2014"
"22","5","01/01/2014"
"49","6","01/01/2014"
"31","7","01/01/2014"
"36","8","01/01/2014"
"21","9","01/01/2014"
"23","10","01/01/2014"
"27","1","04/01/2014"
"32","2","04/01/2014"
"34","3","04/01/2014"
"29","4","04/01/2014"
"28","5","04/01/2014"
"49","6","04/01/2014"
"22","7","04/01/2014"
"77","8","04/01/2014"
"52","9","04/01/2014"
"24","10","04/01/2014"
"32","1","07/01/2014"
"34","2","07/01/2014"
"22","3","07/01/2014"
"73","4","07/01/2014"
"28","5","07/01/2014"
"49","6","07/01/2014"
"21","7","07/01/2014"
"36","8","07/01/2014"
"56","9","07/01/2014"
"27","10","07/01/2014"
"32","1","10/01/2014"
"27","2","10/01/2014"
"21","3","10/01/2014"
"28","4","10/01/2014"
"30","5","10/01/2014"
"22","6","10/01/2014"
"73","7","10/01/2014"
"78","8","10/01/2014"
"77","9","10/01/2014"
"25","10","10/01/2014"
"27","1","01/01/2015"
"34","2","01/01/2015"
"32","3","01/01/2015"
"36","4","01/01/2015"
"30","5","01/01/2015"
"22","6","01/01/2015"
"21","7","01/01/2015"
"28","8","01/01/2015"
"49","9","01/01/2015"
"33","10","01/01/2015"
"32","1","04/01/2015"
"28","2","04/01/2015"
"36","3","04/01/2015"
"56","4","04/01/2015"
"27","5","04/01/2015"
"21","6","04/01/2015"
"78","7","04/01/2015"
"34","8","04/01/2015"
"30","9","04/01/2015"
"22","10","04/01/2015"
"27","1","07/01/2015"
"32","2","07/01/2015"
"21","3","07/01/2015"
"28","4","07/01/2015"
"29","5","07/01/2015"
"36","6","07/01/2015"
"30","7","07/01/2015"
"49","8","07/01/2015"
"34","9","07/01/2015"
"74","10","07/01/2015"
"27","1","10/01/2015"
"32","2","10/01/2015"
"34","3","10/01/2015"
"21","4","10/01/2015"
"22","5","10/01/2015"
"28","6","10/01/2015"
"30","7","10/01/2015"
"49","8","10/01/2015"
"73","9","10/01/2015"
"25","10","10/01/2015"
