"ATA","Rank","Year"
"3426","1","01/01/2014"
"2211","2","01/01/2014"
"3428","3","01/01/2014"
"3611","4","01/01/2014"
"5211","5","01/01/2014"
"2755","6","01/01/2014"
"2500","7","01/01/2014"
"2823","8","01/01/2014"
"2821","9","01/01/2014"
"3242","10","01/01/2014"
"2763","1","01/01/2015"
"3611","2","01/01/2015"
"3241","3","01/01/2015"
"2211","4","01/01/2015"
"7830","5","01/01/2015"
"2821","6","01/01/2015"
"3428","7","01/01/2015"
"5211","8","01/01/2015"
"3812","9","01/01/2015"
"2221","10","01/01/2015"
