"ATA","Rank","Date"
"32","1","01/01/1988"
"38","2","01/01/1988"
"27","3","01/01/1988"
"28","4","01/01/1988"
"29","5","01/01/1988"
"56","6","01/01/1988"
"30","7","01/01/1988"
"36","8","01/01/1988"
"73","9","01/01/1988"
"21","10","01/01/1988"
"32","1","01/01/1989"
"27","2","01/01/1989"
"36","3","01/01/1989"
"28","4","01/01/1989"
"34","5","01/01/1989"
"21","6","01/01/1989"
"24","7","01/01/1989"
"72","8","01/01/1989"
"73","9","01/01/1989"
"29","10","01/01/1989"
"32","1","01/01/1990"
"27","2","01/01/1990"
"34","3","01/01/1990"
"36","4","01/01/1990"
"29","5","01/01/1990"
"21","6","01/01/1990"
"22","7","01/01/1990"
"24","8","01/01/1990"
"30","9","01/01/1990"
"28","10","01/01/1990"
"27","1","01/01/1991"
"32","2","01/01/1991"
"34","3","01/01/1991"
"22","4","01/01/1991"
"29","5","01/01/1991"
"36","6","01/01/1991"
"28","7","01/01/1991"
"21","8","01/01/1991"
"30","9","01/01/1991"
"56","10","01/01/1991"
"32","1","01/01/1992"
"27","2","01/01/1992"
"36","3","01/01/1992"
"22","4","01/01/1992"
"29","5","01/01/1992"
"34","6","01/01/1992"
"21","7","01/01/1992"
"28","8","01/01/1992"
"56","9","01/01/1992"
"77","10","01/01/1992"
"32","1","01/01/1993"
"27","2","01/01/1993"
"36","3","01/01/1993"
"21","4","01/01/1993"
"29","5","01/01/1993"
"30","6","01/01/1993"
"34","7","01/01/1993"
"49","8","01/01/1993"
"22","9","01/01/1993"
"56","10","01/01/1993"
"32","1","01/01/1994"
"27","2","01/01/1994"
"36","3","01/01/1994"
"21","4","01/01/1994"
"29","5","01/01/1994"
"22","6","01/01/1994"
"28","7","01/01/1994"
"72","8","01/01/1994"
"30","9","01/01/1994"
"56","10","01/01/1994"
"32","1","01/01/1995"
"27","2","01/01/1995"
"36","3","01/01/1995"
"21","4","01/01/1995"
"72","5","01/01/1995"
"30","6","01/01/1995"
"29","7","01/01/1995"
"22","8","01/01/1995"
"28","9","01/01/1995"
"34","10","01/01/1995"
"32","1","01/01/1996"
"27","2","01/01/1996"
"28","3","01/01/1996"
"36","4","01/01/1996"
"72","5","01/01/1996"
"56","6","01/01/1996"
"21","7","01/01/1996"
"22","8","01/01/1996"
"30","9","01/01/1996"
"29","10","01/01/1996"
"32","1","01/01/1997"
"27","2","01/01/1997"
"21","3","01/01/1997"
"72","4","01/01/1997"
"36","5","01/01/1997"
"30","6","01/01/1997"
"22","7","01/01/1997"
"56","8","01/01/1997"
"29","9","01/01/1997"
"28","10","01/01/1997"
"32","1","01/01/1998"
"27","2","01/01/1998"
"21","3","01/01/1998"
"72","4","01/01/1998"
"36","5","01/01/1998"
"30","6","01/01/1998"
"22","7","01/01/1998"
"34","8","01/01/1998"
"28","9","01/01/1998"
"29","10","01/01/1998"
"32","1","01/01/1999"
"27","2","01/01/1999"
"21","3","01/01/1999"
"29","4","01/01/1999"
"30","5","01/01/1999"
"28","6","01/01/1999"
"36","7","01/01/1999"
"72","8","01/01/1999"
"22","9","01/01/1999"
"56","10","01/01/1999"
"32","1","01/01/2000"
"27","2","01/01/2000"
"21","3","01/01/2000"
"30","4","01/01/2000"
"36","5","01/01/2000"
"28","6","01/01/2000"
"56","7","01/01/2000"
"29","8","01/01/2000"
"72","9","01/01/2000"
"49","10","01/01/2000"
"32","1","01/01/2001"
"27","2","01/01/2001"
"30","3","01/01/2001"
"29","4","01/01/2001"
"36","5","01/01/2001"
"21","6","01/01/2001"
"72","7","01/01/2001"
"34","8","01/01/2001"
"56","9","01/01/2001"
"22","10","01/01/2001"
"32","1","01/01/2002"
"27","2","01/01/2002"
"56","3","01/01/2002"
"29","4","01/01/2002"
"72","5","01/01/2002"
"21","6","01/01/2002"
"34","7","01/01/2002"
"77","8","01/01/2002"
"30","9","01/01/2002"
"52","10","01/01/2002"
"32","1","01/01/2003"
"27","2","01/01/2003"
"72","3","01/01/2003"
"21","4","01/01/2003"
"28","5","01/01/2003"
"30","6","01/01/2003"
"36","7","01/01/2003"
"22","8","01/01/2003"
"29","9","01/01/2003"
"56","10","01/01/2003"
"32","1","01/01/2004"
"27","2","01/01/2004"
"21","3","01/01/2004"
"72","4","01/01/2004"
"36","5","01/01/2004"
"56","6","01/01/2004"
"34","7","01/01/2004"
"29","8","01/01/2004"
"22","9","01/01/2004"
"77","10","01/01/2004"
"32","1","01/01/2005"
"27","2","01/01/2005"
"36","3","01/01/2005"
"21","4","01/01/2005"
"34","5","01/01/2005"
"29","6","01/01/2005"
"22","7","01/01/2005"
"52","8","01/01/2005"
"77","9","01/01/2005"
"31","10","01/01/2005"
"32","1","01/01/2006"
"27","2","01/01/2006"
"29","3","01/01/2006"
"28","4","01/01/2006"
"36","5","01/01/2006"
"21","6","01/01/2006"
"34","7","01/01/2006"
"52","8","01/01/2006"
"72","9","01/01/2006"
"22","10","01/01/2006"
"32","1","01/01/2007"
"27","2","01/01/2007"
"29","3","01/01/2007"
"36","4","01/01/2007"
"56","5","01/01/2007"
"34","6","01/01/2007"
"77","7","01/01/2007"
"72","8","01/01/2007"
"21","9","01/01/2007"
"28","10","01/01/2007"
"32","1","01/01/2008"
"27","2","01/01/2008"
"36","3","01/01/2008"
"34","4","01/01/2008"
"72","5","01/01/2008"
"29","6","01/01/2008"
"30","7","01/01/2008"
"28","8","01/01/2008"
"21","9","01/01/2008"
"56","10","01/01/2008"
"32","1","01/01/2009"
"27","2","01/01/2009"
"36","3","01/01/2009"
"29","4","01/01/2009"
"21","5","01/01/2009"
"56","6","01/01/2009"
"34","7","01/01/2009"
"30","8","01/01/2009"
"77","9","01/01/2009"
"24","10","01/01/2009"
"32","1","01/01/2010"
"27","2","01/01/2010"
"29","3","01/01/2010"
"21","4","01/01/2010"
"28","5","01/01/2010"
"34","6","01/01/2010"
"56","7","01/01/2010"
"30","8","01/01/2010"
"36","9","01/01/2010"
"72","10","01/01/2010"
"32","1","01/01/2011"
"27","2","01/01/2011"
"21","3","01/01/2011"
"34","4","01/01/2011"
"29","5","01/01/2011"
"28","6","01/01/2011"
"30","7","01/01/2011"
"73","8","01/01/2011"
"72","9","01/01/2011"
"56","10","01/01/2011"
"32","1","01/01/2012"
"27","2","01/01/2012"
"29","3","01/01/2012"
"34","4","01/01/2012"
"36","5","01/01/2012"
"77","6","01/01/2012"
"28","7","01/01/2012"
"21","8","01/01/2012"
"56","9","01/01/2012"
"31","10","01/01/2012"
"32","1","01/01/2013"
"27","2","01/01/2013"
"34","3","01/01/2013"
"29","4","01/01/2013"
"28","5","01/01/2013"
"30","6","01/01/2013"
"73","7","01/01/2013"
"21","8","01/01/2013"
"31","9","01/01/2013"
"72","10","01/01/2013"
"32","1","01/01/2014"
"27","2","01/01/2014"
