"ATA","Rank","Year"
"612","1","01/01/2011"
"324","2","01/01/2011"
"291","3","01/01/2011"
"732","4","01/01/2011"
"761","5","01/01/2011"
"215","6","01/01/2011"
"771","7","01/01/2011"
"342","8","01/01/2011"
"341","9","01/01/2011"
"302","10","01/01/2011"
"275","1","01/01/2014"
"342","2","01/01/2014"
"341","3","01/01/2014"
"302","4","01/01/2014"
"732","5","01/01/2014"
"611","6","01/01/2014"
"612","7","01/01/2014"
"324","8","01/01/2014"
"243","9","01/01/2014"
"561","10","01/01/2014"
