"ATA","Rank","Year"
"324","1","01/01/2014"
"561","2","01/01/2014"
"344","3","01/01/2014"
"276","4","01/01/2014"
"361","5","01/01/2014"
"491","6","01/01/2014"
"221","7","01/01/2014"
"291","8","01/01/2014"
"774","9","01/01/2014"
"342","10","01/01/2014"
"324","1","01/07/2014"
"221","2","01/07/2014"
"326","3","01/07/2014"
"281","4","01/07/2014"
"212","5","01/07/2014"
"495","6","01/07/2014"
"361","7","01/07/2014"
"213","8","01/07/2014"
"783","9","01/07/2014"
"344","10","01/07/2014"
"361","1","01/01/2015"
"561","2","01/01/2015"
"324","3","01/01/2015"
"276","4","01/01/2015"
"783","5","01/01/2015"
"323","6","01/01/2015"
"342","7","01/01/2015"
"213","8","01/01/2015"
"275","9","01/01/2015"
"221","10","01/01/2015"
"361","1","01/07/2015"
"324","2","01/07/2015"
"276","3","01/07/2015"
"275","4","01/07/2015"
"281","5","01/07/2015"
"742","6","01/07/2015"
"323","7","01/07/2015"
"221","8","01/07/2015"
"342","9","01/07/2015"
"215","10","01/07/2015"
