"ATA","Rank","Date"
"32","1","01/01/1988"
"27","2","01/01/1988"
"34","3","01/01/1988"
"22","4","01/01/1988"
"36","5","01/01/1988"
"29","6","01/01/1988"
"28","7","01/01/1988"
"21","8","01/01/1988"
"24","9","01/01/1988"
"31","10","01/01/1988"
"32","1","01/01/1991"
"27","2","01/01/1991"
"22","3","01/01/1991"
"34","4","01/01/1991"
"36","5","01/01/1991"
"29","6","01/01/1991"
"21","7","01/01/1991"
"28","8","01/01/1991"
"49","9","01/01/1991"
"30","10","01/01/1991"
"32","1","01/01/1994"
"27","2","01/01/1994"
"22","3","01/01/1994"
"34","4","01/01/1994"
"36","5","01/01/1994"
"21","6","01/01/1994"
"29","7","01/01/1994"
"30","8","01/01/1994"
"28","9","01/01/1994"
"52","10","01/01/1994"
"32","1","01/01/1997"
"27","2","01/01/1997"
"21","3","01/01/1997"
"34","4","01/01/1997"
"22","5","01/01/1997"
"30","6","01/01/1997"
"29","7","01/01/1997"
"28","8","01/01/1997"
"36","9","01/01/1997"
"52","10","01/01/1997"
"32","1","01/01/2000"
"27","2","01/01/2000"
"34","3","01/01/2000"
"22","4","01/01/2000"
"49","5","01/01/2000"
"29","6","01/01/2000"
"21","7","01/01/2000"
"28","8","01/01/2000"
"30","9","01/01/2000"
"36","10","01/01/2000"
"32","1","01/01/2003"
"27","2","01/01/2003"
"34","3","01/01/2003"
"21","4","01/01/2003"
"22","5","01/01/2003"
"28","6","01/01/2003"
"36","7","01/01/2003"
"29","8","01/01/2003"
"25","9","01/01/2003"
"52","10","01/01/2003"
"32","1","01/01/2006"
"27","2","01/01/2006"
"34","3","01/01/2006"
"22","4","01/01/2006"
"28","5","01/01/2006"
"21","6","01/01/2006"
"29","7","01/01/2006"
"36","8","01/01/2006"
"30","9","01/01/2006"
"49","10","01/01/2006"
"32","1","01/01/2009"
"27","2","01/01/2009"
"34","3","01/01/2009"
"22","4","01/01/2009"
"21","5","01/01/2009"
"29","6","01/01/2009"
"28","7","01/01/2009"
"49","8","01/01/2009"
"30","9","01/01/2009"
"36","10","01/01/2009"
"32","1","01/01/2012"
"27","2","01/01/2012"
"34","3","01/01/2012"
"28","4","01/01/2012"
"22","5","01/01/2012"
"29","6","01/01/2012"
"21","7","01/01/2012"
"49","8","01/01/2012"
"31","9","01/01/2012"
"36","10","01/01/2012"
"32","1","01/01/2015"
"27","2","01/01/2015"
"34","3","01/01/2015"
"28","4","01/01/2015"
"22","5","01/01/2015"
"29","6","01/01/2015"
"21","7","01/01/2015"
"36","8","01/01/2015"
"49","9","01/01/2015"
"30","10","01/01/2015"
