"ATA","Rank","Year"
"3611","1","01/01/2011"
"2131","2","01/01/2011"
"2221","3","01/01/2011"
"3412","4","01/01/2011"
"7832","5","01/01/2011"
"2151","6","01/01/2011"
"3352","7","01/01/2011"
"7100","8","01/01/2011"
"3141","9","01/01/2011"
"2211","10","01/01/2011"
"2755","1","01/04/2011"
"7100","2","01/04/2011"
"3611","3","01/04/2011"
"7321","4","01/04/2011"
"2131","5","01/04/2011"
"2411","6","01/04/2011"
"3262","7","01/04/2011"
"2911","8","01/04/2011"
"2735","9","01/04/2011"
"2221","10","01/04/2011"
"2911","1","01/07/2011"
"500","2","01/07/2011"
"5611","3","01/07/2011"
"2100","4","01/07/2011"
"3241","5","01/07/2011"
"3413","6","01/07/2011"
"4941","7","01/07/2011"
"7200","8","01/07/2011"
"3245","9","01/07/2011"
"7100","10","01/07/2011"
"2131","1","01/10/2011"
"5611","2","01/10/2011"
"3242","3","01/10/2011"
"3241","4","01/10/2011"
"3021","5","01/10/2011"
"3426","6","01/10/2011"
"3611","7","01/10/2011"
"500","8","01/10/2011"
"2723","9","01/10/2011"
"2911","10","01/10/2011"
"2821","1","01/01/2012"
"3831","2","01/01/2012"
"3611","3","01/01/2012"
"2742","4","01/01/2012"
"3245","5","01/01/2012"
"2811","6","01/01/2012"
"2351","7","01/01/2012"
"7170","8","01/01/2012"
"5611","9","01/01/2012"
"3141","10","01/01/2012"
"5611","1","01/04/2012"
"3241","2","01/04/2012"
"7830","3","01/04/2012"
"2821","4","01/04/2012"
"2211","5","01/04/2012"
"3131","6","01/04/2012"
"7321","7","01/04/2012"
"2351","8","01/04/2012"
"2841","9","01/04/2012"
"3352","10","01/04/2012"
"3461","1","01/07/2012"
"3611","2","01/07/2012"
"3261","3","01/07/2012"
"2151","4","01/07/2012"
"3262","5","01/07/2012"
"3021","6","01/07/2012"
"2822","7","01/07/2012"
"2433","8","01/07/2012"
"3241","9","01/07/2012"
"3413","10","01/07/2012"
"500","1","01/10/2012"
"3241","2","01/10/2012"
"7100","3","01/10/2012"
"3611","4","01/10/2012"
"3412","5","01/10/2012"
"3151","6","01/10/2012"
"2131","7","01/10/2012"
"2753","8","01/10/2012"
"2911","9","01/10/2012"
"7311","10","01/10/2012"
"500","1","01/01/2013"
"2221","2","01/01/2013"
"3611","3","01/01/2013"
"3241","4","01/01/2013"
"3232","5","01/01/2013"
"3244","6","01/01/2013"
"2755","7","01/01/2013"
"2151","8","01/01/2013"
"4960","9","01/01/2013"
"7311","10","01/01/2013"
"500","1","01/04/2013"
