"ATA","Rank","Year"
"732","1","01/01/1988"
"730","2","01/01/1988"
"612","3","01/01/1988"
"340","4","01/01/1988"
"320","5","01/01/1988"
"610","6","01/01/1988"
"270","7","01/01/1988"
"324","8","01/01/1988"
"302","9","01/01/1988"
"275","10","01/01/1988"
"732","1","01/01/1991"
"612","2","01/01/1991"
"324","3","01/01/1991"
"291","4","01/01/1991"
"731","5","01/01/1991"
"302","6","01/01/1991"
"243","7","01/01/1991"
"342","8","01/01/1991"
"771","9","01/01/1991"
"273","10","01/01/1991"
"732","1","01/01/1994"
"324","2","01/01/1994"
"612","3","01/01/1994"
"302","4","01/01/1994"
"291","5","01/01/1994"
"731","6","01/01/1994"
"243","7","01/01/1994"
"771","8","01/01/1994"
"344","9","01/01/1994"
"301","10","01/01/1994"
"732","1","01/01/1997"
"324","2","01/01/1997"
"302","3","01/01/1997"
"612","4","01/01/1997"
"291","5","01/01/1997"
"731","6","01/01/1997"
"243","7","01/01/1997"
"771","8","01/01/1997"
"344","9","01/01/1997"
"273","10","01/01/1997"
"324","1","01/01/2000"
"612","2","01/01/2000"
"732","3","01/01/2000"
"771","4","01/01/2000"
"761","5","01/01/2000"
"291","6","01/01/2000"
"302","7","01/01/2000"
"243","8","01/01/2000"
"342","9","01/01/2000"
"344","10","01/01/2000"
"324","1","01/01/2003"
"612","2","01/01/2003"
"291","3","01/01/2003"
"302","4","01/01/2003"
"771","5","01/01/2003"
"732","6","01/01/2003"
"301","7","01/01/2003"
"342","8","01/01/2003"
"344","9","01/01/2003"
"341","10","01/01/2003"
"612","1","01/01/2006"
"302","2","01/01/2006"
"324","3","01/01/2006"
"771","4","01/01/2006"
"342","5","01/01/2006"
"341","6","01/01/2006"
"732","7","01/01/2006"
"273","8","01/01/2006"
"291","9","01/01/2006"
"801","10","01/01/2006"
"612","1","01/01/2009"
"324","2","01/01/2009"
"342","3","01/01/2009"
"732","4","01/01/2009"
"302","5","01/01/2009"
"341","6","01/01/2009"
"761","7","01/01/2009"
"801","8","01/01/2009"
"771","9","01/01/2009"
"301","10","01/01/2009"
"275","1","01/01/2012"
"612","2","01/01/2012"
"324","3","01/01/2012"
"732","4","01/01/2012"
"342","5","01/01/2012"
"291","6","01/01/2012"
"761","7","01/01/2012"
"215","8","01/01/2012"
"611","9","01/01/2012"
"771","10","01/01/2012"
"302","1","01/01/2015"
"341","2","01/01/2015"
"771","3","01/01/2015"
"612","4","01/01/2015"
"303","5","01/01/2015"
"215","6","01/01/2015"
"342","7","01/01/2015"
"561","8","01/01/2015"
"291","9","01/01/2015"
"324","10","01/01/2015"
