"ATA","Rank","Year"
"324","1","01/01/2014"
"221","2","01/01/2014"
"561","3","01/01/2014"
"344","4","01/01/2014"
"361","5","01/01/2014"
"276","6","01/01/2014"
"326","7","01/01/2014"
"774","8","01/01/2014"
"275","9","01/01/2014"
"291","10","01/01/2014"
"361","1","01/01/2015"
"324","2","01/01/2015"
"276","3","01/01/2015"
"561","4","01/01/2015"
"275","5","01/01/2015"
"323","6","01/01/2015"
"342","7","01/01/2015"
"221","8","01/01/2015"
"281","9","01/01/2015"
"742","10","01/01/2015"
