"ATA","Rank","Year"
"32","1","01/01/2011"
"27","2","01/01/2011"
"21","3","01/01/2011"
"52","4","01/01/2011"
"34","5","01/01/2011"
"28","6","01/01/2011"
"36","7","01/01/2011"
"24","8","01/01/2011"
"29","9","01/01/2011"
"30","10","01/01/2011"
"32","1","01/01/2012"
"34","2","01/01/2012"
"27","3","01/01/2012"
"29","4","01/01/2012"
"52","5","01/01/2012"
"21","6","01/01/2012"
"22","7","01/01/2012"
"36","8","01/01/2012"
"28","9","01/01/2012"
"24","10","01/01/2012"
"32","1","01/01/2013"
"34","2","01/01/2013"
"27","3","01/01/2013"
"36","4","01/01/2013"
"52","5","01/01/2013"
"30","6","01/01/2013"
"25","7","01/01/2013"
"23","8","01/01/2013"
"28","9","01/01/2013"
"21","10","01/01/2013"
"34","1","01/01/2014"
"27","2","01/01/2014"
"28","3","01/01/2014"
"32","4","01/01/2014"
"22","5","01/01/2014"
"52","6","01/01/2014"
"25","7","01/01/2014"
"24","8","01/01/2014"
"21","9","01/01/2014"
"23","10","01/01/2014"
"27","1","01/01/2015"
"32","2","01/01/2015"
"34","3","01/01/2015"
"28","4","01/01/2015"
"22","5","01/01/2015"
"36","6","01/01/2015"
"52","7","01/01/2015"
"49","8","01/01/2015"
"78","9","01/01/2015"
"30","10","01/01/2015"
