"ATA","Rank","Date"
"34","1","01/01/2014"
"73","2","01/01/2014"
"35","3","01/01/2014"
"32","4","01/01/2014"
"76","5","01/01/2014"
"5","6","01/01/2014"
"30","7","01/01/2014"
"27","8","01/01/2014"
"61","9","01/01/2014"
"28","10","01/01/2014"
"61","1","01/07/2014"
"34","2","01/07/2014"
"24","3","01/07/2014"
"32","4","01/07/2014"
"28","5","01/07/2014"
"27","6","01/07/2014"
"29","7","01/07/2014"
"5","8","01/07/2014"
"79","9","01/07/2014"
"30","10","01/07/2014"
"34","1","01/01/2015"
"30","2","01/01/2015"
"29","3","01/01/2015"
"77","4","01/01/2015"
"61","5","01/01/2015"
"24","6","01/01/2015"
"32","7","01/01/2015"
"73","8","01/01/2015"
"71","9","01/01/2015"
"33","10","01/01/2015"
"32","1","01/07/2015"
"56","2","01/07/2015"
"34","3","01/07/2015"
"21","4","01/07/2015"
"73","5","01/07/2015"
"77","6","01/07/2015"
"30","7","01/07/2015"
"29","8","01/07/2015"
"27","9","01/07/2015"
"61","10","01/07/2015"
