"ATA","Rank","Year"
"2911","1","01/01/1988"
"3812","2","01/01/1988"
"3211","3","01/01/1988"
"2913","4","01/01/1988"
"8011","5","01/01/1988"
"2732","6","01/01/1988"
"3426","7","01/01/1988"
"3831","8","01/01/1988"
"3245","9","01/01/1988"
"3611","10","01/01/1988"
"3242","1","01/01/1989"
"3263","2","01/01/1989"
"3241","3","01/01/1989"
"2815","4","01/01/1989"
"3611","5","01/01/1989"
"2433","6","01/01/1989"
"2221","7","01/01/1989"
"3623","8","01/01/1989"
"2230","9","01/01/1989"
"2211","10","01/01/1989"
"3241","1","01/01/1990"
"3611","2","01/01/1990"
"2433","3","01/01/1990"
"2211","4","01/01/1990"
"7832","5","01/01/1990"
"2765","6","01/01/1990"
"2221","7","01/01/1990"
"3244","8","01/01/1990"
"2913","9","01/01/1990"
"3461","10","01/01/1990"
"3611","1","01/01/1991"
"2211","2","01/01/1991"
"2755","3","01/01/1991"
"2221","4","01/01/1991"
"3241","5","01/01/1991"
"3461","6","01/01/1991"
"2723","7","01/01/1991"
"7741","8","01/01/1991"
"2763","9","01/01/1991"
"2841","10","01/01/1991"
"2221","1","01/01/1992"
"3261","2","01/01/1992"
"3428","3","01/01/1992"
"3461","4","01/01/1992"
"3241","5","01/01/1992"
"2763","6","01/01/1992"
"2211","7","01/01/1992"
"2841","8","01/01/1992"
"3611","9","01/01/1992"
"2230","10","01/01/1992"
"2221","1","01/01/1993"
"3611","2","01/01/1993"
"3261","3","01/01/1993"
"3241","4","01/01/1993"
"7741","5","01/01/1993"
"3428","6","01/01/1993"
"2911","7","01/01/1993"
"2735","8","01/01/1993"
"2211","9","01/01/1993"
"3461","10","01/01/1993"
"2221","1","01/01/1994"
"3611","2","01/01/1994"
"3241","3","01/01/1994"
"2211","4","01/01/1994"
"2765","5","01/01/1994"
"3261","6","01/01/1994"
"2735","7","01/01/1994"
"3831","8","01/01/1994"
"7741","9","01/01/1994"
"2913","10","01/01/1994"
"3611","1","01/01/1995"
"3241","2","01/01/1995"
"3261","3","01/01/1995"
"2211","4","01/01/1995"
"3021","5","01/01/1995"
"2911","6","01/01/1995"
"2221","7","01/01/1995"
"3245","8","01/01/1995"
"2735","9","01/01/1995"
"3244","10","01/01/1995"
"2221","1","01/01/1996"
"3241","2","01/01/1996"
"2763","3","01/01/1996"
"3610","4","01/01/1996"
"3611","5","01/01/1996"
"2730","6","01/01/1996"
"2735","7","01/01/1996"
"5611","8","01/01/1996"
"3461","9","01/01/1996"
"3621","10","01/01/1996"
"3241","1","01/01/1997"
"3242","2","01/01/1997"
"2722","3","01/01/1997"
"2130","4","01/01/1997"
"2763","5","01/01/1997"
"3611","6","01/01/1997"
"2750","7","01/01/1997"
"7830","8","01/01/1997"
"2221","9","01/01/1997"
"2735","10","01/01/1997"
"3241","1","01/01/1998"
"3611","2","01/01/1998"
"2150","3","01/01/1998"
"2221","4","01/01/1998"
"2763","5","01/01/1998"
"3242","6","01/01/1998"
"3021","7","01/01/1998"
"7830","8","01/01/1998"
"3245","9","01/01/1998"
"2433","10","01/01/1998"
"7830","1","01/01/1999"
"3611","2","01/01/1999"
"2910","3","01/01/1999"
"3241","4","01/01/1999"
"3240","5","01/01/1999"
"3245","6","01/01/1999"
"2151","7","01/01/1999"
"3428","8","01/01/1999"
"3242","9","01/01/1999"
"8000","10","01/01/1999"
"3240","1","01/01/2000"
"2750","2","01/01/2000"
"7830","3","01/01/2000"
"4900","4","01/01/2000"
"2910","5","01/01/2000"
"2764","6","01/01/2000"
"7200","7","01/01/2000"
"2221","8","01/01/2000"
"3010","9","01/01/2000"
"5610","10","01/01/2000"
"3240","1","01/01/2001"
"7830","2","01/01/2001"
"4900","3","01/01/2001"
"2750","4","01/01/2001"
"3610","5","01/01/2001"
"2210","6","01/01/2001"
"2764","7","01/01/2001"
"3245","8","01/01/2001"
"2910","9","01/01/2001"
"2900","10","01/01/2001"
"3240","1","01/01/2002"
"3610","2","01/01/2002"
"2750","3","01/01/2002"
"5610","4","01/01/2002"
"2210","5","01/01/2002"
"7200","6","01/01/2002"
"3010","7","01/01/2002"
"7830","8","01/01/2002"
"2910","9","01/01/2002"
"8000","10","01/01/2002"
"3240","1","01/01/2003"
"3610","2","01/01/2003"
"2810","3","01/01/2003"
"5610","4","01/01/2003"
"5210","5","01/01/2003"
"2910","6","01/01/2003"
"3210","7","01/01/2003"
"2710","8","01/01/2003"
"2764","9","01/01/2003"
"2210","10","01/01/2003"
"3240","1","01/01/2004"
"3610","2","01/01/2004"
"7830","3","01/01/2004"
"5610","4","01/01/2004"
"2900","5","01/01/2004"
"2764","6","01/01/2004"
"2750","7","01/01/2004"
"2150","8","01/01/2004"
"2910","9","01/01/2004"
"2130","10","01/01/2004"
"3240","1","01/01/2005"
"3610","2","01/01/2005"
"7830","3","01/01/2005"
"2910","4","01/01/2005"
"2433","5","01/01/2005"
"2764","6","01/01/2005"
"2210","7","01/01/2005"
"3428","8","01/01/2005"
"2920","9","01/01/2005"
"3350","10","01/01/2005"
"3240","1","01/01/2006"
"3610","2","01/01/2006"
"2210","3","01/01/2006"
"2130","4","01/01/2006"
"2900","5","01/01/2006"
"3350","6","01/01/2006"
"3210","7","01/01/2006"
"2221","8","01/01/2006"
"2764","9","01/01/2006"
"3021","10","01/01/2006"
"3240","1","01/01/2007"
"3610","2","01/01/2007"
"2764","3","01/01/2007"
"2210","4","01/01/2007"
"7830","5","01/01/2007"
"5610","6","01/01/2007"
"2910","7","01/01/2007"
"2750","8","01/01/2007"
"3350","9","01/01/2007"
"3260","10","01/01/2007"
"3241","1","01/01/2008"
"2131","2","01/01/2008"
"2900","3","01/01/2008"
"500","4","01/01/2008"
"3611","5","01/01/2008"
"3242","6","01/01/2008"
"2841","7","01/01/2008"
"2221","8","01/01/2008"
"2211","9","01/01/2008"
"2735","10","01/01/2008"
"3611","1","01/01/2009"
"3241","2","01/01/2009"
"2211","3","01/01/2009"
"500","4","01/01/2009"
"2911","5","01/01/2009"
"2221","6","01/01/2009"
"3242","7","01/01/2009"
"3352","8","01/01/2009"
"3232","9","01/01/2009"
"2151","10","01/01/2009"
"500","1","01/01/2010"
"2221","2","01/01/2010"
"3241","3","01/01/2010"
"3244","4","01/01/2010"
"2911","5","01/01/2010"
"3428","6","01/01/2010"
"2821","7","01/01/2010"
"3242","8","01/01/2010"
"2131","9","01/01/2010"
"3232","10","01/01/2010"
"2911","1","01/01/2011"
"3611","2","01/01/2011"
"2131","3","01/01/2011"
"500","4","01/01/2011"
"7100","5","01/01/2011"
"2221","6","01/01/2011"
"5611","7","01/01/2011"
"3352","8","01/01/2011"
"3242","9","01/01/2011"
"3241","10","01/01/2011"
"3611","1","01/01/2012"
"3241","2","01/01/2012"
"2821","3","01/01/2012"
"5611","4","01/01/2012"
"3461","5","01/01/2012"
"500","6","01/01/2012"
"2351","7","01/01/2012"
"2131","8","01/01/2012"
"2221","9","01/01/2012"
"2433","10","01/01/2012"
"500","1","01/01/2013"
"3611","2","01/01/2013"
"2911","3","01/01/2013"
"3242","4","01/01/2013"
"3241","5","01/01/2013"
"2221","6","01/01/2013"
"8011","7","01/01/2013"
"7745","8","01/01/2013"
"3245","9","01/01/2013"
"3021","10","01/01/2013"
"2211","1","01/01/2014"
"3611","2","01/01/2014"
"3242","3","01/01/2014"
"8011","4","01/01/2014"
"3241","5","01/01/2014"
"5611","6","01/01/2014"
"4910","7","01/01/2014"
"500","8","01/01/2014"
"3011","9","01/01/2014"
"2131","10","01/01/2014"
"3611","1","01/01/2015"
"3232","2","01/01/2015"
"2211","3","01/01/2015"
"7421","4","01/01/2015"
"3021","5","01/01/2015"
"7311","6","01/01/2015"
"5613","7","01/01/2015"
"3011","8","01/01/2015"
"2131","9","01/01/2015"
"3428","10","01/01/2015"
