"ATA","Rank","Year"
"3426","1","01/01/2014"
"3428","2","01/01/2014"
"2823","3","01/01/2014"
"2714","4","01/01/2014"
"7835","5","01/01/2014"
"2211","6","01/01/2014"
"5211","7","01/01/2014"
"2755","8","01/01/2014"
"2151","9","01/01/2014"
"2811","10","01/01/2014"
"2211","1","01/07/2014"
"2500","2","01/07/2014"
"3611","3","01/07/2014"
"3242","4","01/07/2014"
"2362","5","01/07/2014"
"5211","6","01/07/2014"
"2755","7","01/07/2014"
"3426","8","01/07/2014"
"3412","9","01/07/2014"
"4942","10","01/07/2014"
"7830","1","01/01/2015"
"3611","2","01/01/2015"
"3241","3","01/01/2015"
"2743","4","01/01/2015"
"5613","5","01/01/2015"
"5211","6","01/01/2015"
"2712","7","01/01/2015"
"2211","8","01/01/2015"
"4942","9","01/01/2015"
"3232","10","01/01/2015"
"2763","1","01/07/2015"
"2821","2","01/07/2015"
"3611","3","01/07/2015"
"3241","4","01/07/2015"
"2211","5","01/07/2015"
"3428","6","01/07/2015"
"2221","7","01/07/2015"
"3812","8","01/07/2015"
"3426","9","01/07/2015"
"5211","10","01/07/2015"
