"ATA","Rank","Year"
"273","1","01/01/1995"
"324","2","01/01/1995"
"276","3","01/01/1995"
"222","4","01/01/1995"
"783","5","01/01/1995"
"242","6","01/01/1995"
"282","7","01/01/1995"
"221","8","01/01/1995"
"326","9","01/01/1995"
"281","10","01/01/1995"
"783","1","01/01/1998"
"324","2","01/01/1998"
"273","3","01/01/1998"
"361","4","01/01/1998"
"291","5","01/01/1998"
"272","6","01/01/1998"
"221","7","01/01/1998"
"274","8","01/01/1998"
"242","9","01/01/1998"
"281","10","01/01/1998"
"324","1","01/01/2001"
"291","2","01/01/2001"
"783","3","01/01/2001"
"361","4","01/01/2001"
"221","5","01/01/2001"
"302","6","01/01/2001"
"273","7","01/01/2001"
"282","8","01/01/2001"
"521","9","01/01/2001"
"321","10","01/01/2001"
"324","1","01/01/2004"
"361","2","01/01/2004"
"521","3","01/01/2004"
"221","4","01/01/2004"
"383","5","01/01/2004"
"341","6","01/01/2004"
"783","7","01/01/2004"
"723","8","01/01/2004"
"215","9","01/01/2004"
"290","10","01/01/2004"
"324","1","01/01/2007"
"361","2","01/01/2007"
"276","3","01/01/2007"
"342","4","01/01/2007"
"221","5","01/01/2007"
"521","6","01/01/2007"
"273","7","01/01/2007"
"50","8","01/01/2007"
"275","9","01/01/2007"
"215","10","01/01/2007"
"231","1","01/01/2010"
"324","2","01/01/2010"
"521","3","01/01/2010"
"361","4","01/01/2010"
"326","5","01/01/2010"
"342","6","01/01/2010"
"291","7","01/01/2010"
"282","8","01/01/2010"
"275","9","01/01/2010"
"213","10","01/01/2010"
"342","1","01/01/2013"
"324","2","01/01/2013"
"361","3","01/01/2013"
"276","4","01/01/2013"
"282","5","01/01/2013"
"521","6","01/01/2013"
"783","7","01/01/2013"
"221","8","01/01/2013"
"273","9","01/01/2013"
"291","10","01/01/2013"
