"ATA","Rank","Year"
"324","1","01/01/2011"
"282","2","01/01/2011"
"361","3","01/01/2011"
"521","4","01/01/2011"
"292","5","01/01/2011"
"244","6","01/01/2011"
"212","7","01/01/2011"
"326","8","01/01/2011"
"215","9","01/01/2011"
"342","10","01/01/2011"
"361","1","01/07/2011"
"521","2","01/07/2011"
"324","3","01/07/2011"
"342","4","01/07/2011"
"326","5","01/07/2011"
"275","6","01/07/2011"
"783","7","01/07/2011"
"282","8","01/07/2011"
"276","9","01/07/2011"
"273","10","01/07/2011"
"324","1","01/01/2012"
"291","2","01/01/2012"
"326","3","01/01/2012"
"521","4","01/01/2012"
"282","5","01/01/2012"
"346","6","01/01/2012"
"361","7","01/01/2012"
"783","8","01/01/2012"
"323","9","01/01/2012"
"302","10","01/01/2012"
"324","1","01/07/2012"
"326","2","01/07/2012"
"521","3","01/07/2012"
"342","4","01/07/2012"
"361","5","01/07/2012"
"291","6","01/07/2012"
"383","7","01/07/2012"
"213","8","01/07/2012"
"231","9","01/07/2012"
"561","10","01/07/2012"
"342","1","01/01/2013"
"324","2","01/01/2013"
"783","3","01/01/2013"
"302","4","01/01/2013"
"361","5","01/01/2013"
"521","6","01/01/2013"
"276","7","01/01/2013"
"273","8","01/01/2013"
"291","9","01/01/2013"
"304","10","01/01/2013"
"361","1","01/07/2013"
"324","2","01/07/2013"
"273","3","01/07/2013"
"521","4","01/07/2013"
"342","5","01/07/2013"
"235","6","01/07/2013"
"251","7","01/07/2013"
"253","8","01/07/2013"
"291","9","01/07/2013"
"321","10","01/07/2013"
"342","1","01/01/2014"
"271","2","01/01/2014"
"282","3","01/01/2014"
"774","4","01/01/2014"
"281","5","01/01/2014"
"783","6","01/01/2014"
"291","7","01/01/2014"
"221","8","01/01/2014"
"521","9","01/01/2014"
"275","10","01/01/2014"
"221","1","01/07/2014"
"250","2","01/07/2014"
"361","3","01/07/2014"
"342","4","01/07/2014"
"324","5","01/07/2014"
"282","6","01/07/2014"
"243","7","01/07/2014"
"521","8","01/07/2014"
"236","9","01/07/2014"
"323","10","01/07/2014"
"783","1","01/01/2015"
"361","2","01/01/2015"
"324","3","01/01/2015"
"274","4","01/01/2015"
"561","5","01/01/2015"
"521","6","01/01/2015"
"271","7","01/01/2015"
"221","8","01/01/2015"
"494","9","01/01/2015"
"323","10","01/01/2015"
"276","1","01/07/2015"
"282","2","01/07/2015"
"342","3","01/07/2015"
"324","4","01/07/2015"
"361","5","01/07/2015"
"221","6","01/07/2015"
"222","7","01/07/2015"
"273","8","01/07/2015"
"381","9","01/07/2015"
"521","10","01/07/2015"
