"ATA","Rank","Date"
"56","1","01/01/1988"
"78","2","01/01/1988"
"73","3","01/01/1988"
"32","4","01/01/1988"
"38","5","01/01/1988"
"28","6","01/01/1988"
"30","7","01/01/1988"
"21","8","01/01/1988"
"27","9","01/01/1988"
"36","10","01/01/1988"
"55","1","01/01/1989"
"71","2","01/01/1989"
"72","3","01/01/1989"
"73","4","01/01/1989"
"75","5","01/01/1989"
"24","6","01/01/1989"
"74","7","01/01/1989"
"36","8","01/01/1989"
"27","9","01/01/1989"
"77","10","01/01/1989"
"75","1","01/01/1990"
"72","2","01/01/1990"
"73","3","01/01/1990"
"56","4","01/01/1990"
"38","5","01/01/1990"
"21","6","01/01/1990"
"27","7","01/01/1990"
"29","8","01/01/1990"
"36","9","01/01/1990"
"76","10","01/01/1990"
"72","1","01/01/1991"
"55","2","01/01/1991"
"56","3","01/01/1991"
"71","4","01/01/1991"
"76","5","01/01/1991"
"21","6","01/01/1991"
"27","7","01/01/1991"
"38","8","01/01/1991"
"75","9","01/01/1991"
"29","10","01/01/1991"
"72","1","01/01/1992"
"56","2","01/01/1992"
"55","3","01/01/1992"
"53","4","01/01/1992"
"36","5","01/01/1992"
"32","6","01/01/1992"
"27","7","01/01/1992"
"71","8","01/01/1992"
"57","9","01/01/1992"
"29","10","01/01/1992"
"71","1","01/01/1993"
"76","2","01/01/1993"
"56","3","01/01/1993"
"72","4","01/01/1993"
"54","5","01/01/1993"
"73","6","01/01/1993"
"29","7","01/01/1993"
"53","8","01/01/1993"
"21","9","01/01/1993"
"75","10","01/01/1993"
"51","1","01/01/1994"
"54","2","01/01/1994"
"55","3","01/01/1994"
"72","4","01/01/1994"
"79","5","01/01/1994"
"56","6","01/01/1994"
"76","7","01/01/1994"
"53","8","01/01/1994"
"71","9","01/01/1994"
"73","10","01/01/1994"
"51","1","01/01/1995"
"54","2","01/01/1995"
"70","3","01/01/1995"
"72","4","01/01/1995"
"76","5","01/01/1995"
"56","6","01/01/1995"
"53","7","01/01/1995"
"73","8","01/01/1995"
"79","9","01/01/1995"
"57","10","01/01/1995"
"72","1","01/01/1996"
"73","2","01/01/1996"
"56","3","01/01/1996"
"53","4","01/01/1996"
"79","5","01/01/1996"
"28","6","01/01/1996"
"27","7","01/01/1996"
"36","8","01/01/1996"
"49","9","01/01/1996"
"26","10","01/01/1996"
"70","1","01/01/1997"
"72","2","01/01/1997"
"76","3","01/01/1997"
"56","4","01/01/1997"
"53","5","01/01/1997"
"21","6","01/01/1997"
"79","7","01/01/1997"
"36","8","01/01/1997"
"27","9","01/01/1997"
"49","10","01/01/1997"
"72","1","01/01/1998"
"75","2","01/01/1998"
"76","3","01/01/1998"
"56","4","01/01/1998"
"53","5","01/01/1998"
"71","6","01/01/1998"
"21","7","01/01/1998"
"36","8","01/01/1998"
"77","9","01/01/1998"
"57","10","01/01/1998"
"72","1","01/01/1999"
"56","2","01/01/1999"
"73","3","01/01/1999"
"76","4","01/01/1999"
"27","5","01/01/1999"
"77","6","01/01/1999"
"21","7","01/01/1999"
"29","8","01/01/1999"
"53","9","01/01/1999"
"57","10","01/01/1999"
"72","1","01/01/2000"
"56","2","01/01/2000"
"73","3","01/01/2000"
"53","4","01/01/2000"
"71","5","01/01/2000"
"76","6","01/01/2000"
"36","7","01/01/2000"
"21","8","01/01/2000"
"30","9","01/01/2000"
"27","10","01/01/2000"
"72","1","01/01/2001"
"54","2","01/01/2001"
"56","3","01/01/2001"
"76","4","01/01/2001"
"73","5","01/01/2001"
"71","6","01/01/2001"
"30","7","01/01/2001"
"53","8","01/01/2001"
"57","9","01/01/2001"
"36","10","01/01/2001"
"71","1","01/01/2002"
"56","2","01/01/2002"
"72","3","01/01/2002"
"73","4","01/01/2002"
"57","5","01/01/2002"
"74","6","01/01/2002"
"27","7","01/01/2002"
"77","8","01/01/2002"
"21","9","01/01/2002"
"36","10","01/01/2002"
"54","1","01/01/2003"
"73","2","01/01/2003"
"72","3","01/01/2003"
"51","4","01/01/2003"
"76","5","01/01/2003"
"71","6","01/01/2003"
"56","7","01/01/2003"
"53","8","01/01/2003"
"77","9","01/01/2003"
"74","10","01/01/2003"
"54","1","01/01/2004"
"71","2","01/01/2004"
"72","3","01/01/2004"
"56","4","01/01/2004"
"76","5","01/01/2004"
"51","6","01/01/2004"
"53","7","01/01/2004"
"57","8","01/01/2004"
"33","9","01/01/2004"
"73","10","01/01/2004"
"55","1","01/01/2005"
"57","2","01/01/2005"
"76","3","01/01/2005"
"26","4","01/01/2005"
"75","5","01/01/2005"
"71","6","01/01/2005"
"53","7","01/01/2005"
"73","8","01/01/2005"
"27","9","01/01/2005"
"54","10","01/01/2005"
"55","1","01/01/2006"
"71","2","01/01/2006"
"76","3","01/01/2006"
"36","4","01/01/2006"
"56","5","01/01/2006"
"29","6","01/01/2006"
"53","7","01/01/2006"
"57","8","01/01/2006"
"72","9","01/01/2006"
"27","10","01/01/2006"
"75","1","01/01/2007"
"56","2","01/01/2007"
"71","3","01/01/2007"
"54","4","01/01/2007"
"72","5","01/01/2007"
"57","6","01/01/2007"
"27","7","01/01/2007"
"77","8","01/01/2007"
"73","9","01/01/2007"
"29","10","01/01/2007"
"75","1","01/01/2008"
"72","2","01/01/2008"
"57","3","01/01/2008"
"53","4","01/01/2008"
"79","5","01/01/2008"
"73","6","01/01/2008"
"36","7","01/01/2008"
"56","8","01/01/2008"
"30","9","01/01/2008"
"27","10","01/01/2008"
"55","1","01/01/2009"
"75","2","01/01/2009"
"56","3","01/01/2009"
"73","4","01/01/2009"
"36","5","01/01/2009"
"27","6","01/01/2009"
"53","7","01/01/2009"
"72","8","01/01/2009"
"71","9","01/01/2009"
"32","10","01/01/2009"
"20","1","01/01/2010"
"51","2","01/01/2010"
"54","3","01/01/2010"
"72","4","01/01/2010"
"53","5","01/01/2010"
"56","6","01/01/2010"
"76","7","01/01/2010"
"73","8","01/01/2010"
"27","9","01/01/2010"
"57","10","01/01/2010"
"7","1","01/01/2011"
"75","2","01/01/2011"
"73","3","01/01/2011"
"76","4","01/01/2011"
"72","5","01/01/2011"
"27","6","01/01/2011"
"56","7","01/01/2011"
"32","8","01/01/2011"
"21","9","01/01/2011"
"29","10","01/01/2011"
"57","1","01/01/2012"
"72","2","01/01/2012"
"29","3","01/01/2012"
"27","4","01/01/2012"
"71","5","01/01/2012"
"77","6","01/01/2012"
"36","7","01/01/2012"
"56","8","01/01/2012"
"32","9","01/01/2012"
"75","10","01/01/2012"
"54","1","01/01/2013"
"75","2","01/01/2013"
