"ATA","Rank","Date"
"29","1","01/01/1988"
"32","2","01/01/1988"
"27","3","01/01/1988"
"38","4","01/01/1988"
"34","5","01/01/1988"
"36","6","01/01/1988"
"80","7","01/01/1988"
"28","8","01/01/1988"
"31","9","01/01/1988"
"77","10","01/01/1988"
"32","1","01/01/1989"
"34","2","01/01/1989"
"28","3","01/01/1989"
"22","4","01/01/1989"
"36","5","01/01/1989"
"27","6","01/01/1989"
"21","7","01/01/1989"
"24","8","01/01/1989"
"80","9","01/01/1989"
"29","10","01/01/1989"
"32","1","01/01/1990"
"27","2","01/01/1990"
"34","3","01/01/1990"
"36","4","01/01/1990"
"24","5","01/01/1990"
"29","6","01/01/1990"
"22","7","01/01/1990"
"30","8","01/01/1990"
"21","9","01/01/1990"
"77","10","01/01/1990"
"27","1","01/01/1991"
"34","2","01/01/1991"
"32","3","01/01/1991"
"22","4","01/01/1991"
"36","5","01/01/1991"
"29","6","01/01/1991"
"28","7","01/01/1991"
"49","8","01/01/1991"
"30","9","01/01/1991"
"77","10","01/01/1991"
"32","1","01/01/1992"
"34","2","01/01/1992"
"27","3","01/01/1992"
"22","4","01/01/1992"
"29","5","01/01/1992"
"28","6","01/01/1992"
"21","7","01/01/1992"
"36","8","01/01/1992"
"30","9","01/01/1992"
"49","10","01/01/1992"
"32","1","01/01/1993"
"27","2","01/01/1993"
"22","3","01/01/1993"
"34","4","01/01/1993"
"36","5","01/01/1993"
"29","6","01/01/1993"
"30","7","01/01/1993"
"21","8","01/01/1993"
"77","9","01/01/1993"
"49","10","01/01/1993"
"32","1","01/01/1994"
"27","2","01/01/1994"
"22","3","01/01/1994"
"34","4","01/01/1994"
"36","5","01/01/1994"
"29","6","01/01/1994"
"21","7","01/01/1994"
"28","8","01/01/1994"
"30","9","01/01/1994"
"49","10","01/01/1994"
"32","1","01/01/1995"
"27","2","01/01/1995"
"34","3","01/01/1995"
"36","4","01/01/1995"
"29","5","01/01/1995"
"30","6","01/01/1995"
"22","7","01/01/1995"
"21","8","01/01/1995"
"52","9","01/01/1995"
"28","10","01/01/1995"
"32","1","01/01/1996"
"27","2","01/01/1996"
"22","3","01/01/1996"
"34","4","01/01/1996"
"36","5","01/01/1996"
"21","6","01/01/1996"
"30","7","01/01/1996"
"52","8","01/01/1996"
"29","9","01/01/1996"
"33","10","01/01/1996"
"32","1","01/01/1997"
"27","2","01/01/1997"
"34","3","01/01/1997"
"30","4","01/01/1997"
"22","5","01/01/1997"
"21","6","01/01/1997"
"29","7","01/01/1997"
"28","8","01/01/1997"
"36","9","01/01/1997"
"24","10","01/01/1997"
"32","1","01/01/1998"
"27","2","01/01/1998"
"21","3","01/01/1998"
"34","4","01/01/1998"
"30","5","01/01/1998"
"36","6","01/01/1998"
"22","7","01/01/1998"
"24","8","01/01/1998"
"29","9","01/01/1998"
"28","10","01/01/1998"
"32","1","01/01/1999"
"27","2","01/01/1999"
"21","3","01/01/1999"
"34","4","01/01/1999"
"29","5","01/01/1999"
"30","6","01/01/1999"
"24","7","01/01/1999"
"36","8","01/01/1999"
"22","9","01/01/1999"
"28","10","01/01/1999"
"32","1","01/01/2000"
"27","2","01/01/2000"
"34","3","01/01/2000"
"29","4","01/01/2000"
"30","5","01/01/2000"
"22","6","01/01/2000"
"21","7","01/01/2000"
"49","8","01/01/2000"
"28","9","01/01/2000"
"24","10","01/01/2000"
"32","1","01/01/2001"
"27","2","01/01/2001"
"34","3","01/01/2001"
"78","4","01/01/2001"
"49","5","01/01/2001"
"22","6","01/01/2001"
"29","7","01/01/2001"
"28","8","01/01/2001"
"36","9","01/01/2001"
"30","10","01/01/2001"
"32","1","01/01/2002"
"27","2","01/01/2002"
"34","3","01/01/2002"
"22","4","01/01/2002"
"30","5","01/01/2002"
"28","6","01/01/2002"
"29","7","01/01/2002"
"77","8","01/01/2002"
"36","9","01/01/2002"
"49","10","01/01/2002"
"32","1","01/01/2003"
"27","2","01/01/2003"
"28","3","01/01/2003"
"34","4","01/01/2003"
"52","5","01/01/2003"
"29","6","01/01/2003"
"30","7","01/01/2003"
"21","8","01/01/2003"
"36","9","01/01/2003"
"22","10","01/01/2003"
"32","1","01/01/2004"
"27","2","01/01/2004"
"34","3","01/01/2004"
"21","4","01/01/2004"
"29","5","01/01/2004"
"28","6","01/01/2004"
"36","7","01/01/2004"
"22","8","01/01/2004"
"30","9","01/01/2004"
"78","10","01/01/2004"
"32","1","01/01/2005"
"27","2","01/01/2005"
"34","3","01/01/2005"
"29","4","01/01/2005"
"21","5","01/01/2005"
"28","6","01/01/2005"
"22","7","01/01/2005"
"24","8","01/01/2005"
"25","9","01/01/2005"
"49","10","01/01/2005"
"32","1","01/01/2006"
"27","2","01/01/2006"
"34","3","01/01/2006"
"21","4","01/01/2006"
"22","5","01/01/2006"
"28","6","01/01/2006"
"29","7","01/01/2006"
"30","8","01/01/2006"
"36","9","01/01/2006"
"33","10","01/01/2006"
"32","1","01/01/2007"
"34","2","01/01/2007"
"27","3","01/01/2007"
"22","4","01/01/2007"
"36","5","01/01/2007"
"29","6","01/01/2007"
"21","7","01/01/2007"
"28","8","01/01/2007"
"24","9","01/01/2007"
"49","10","01/01/2007"
"32","1","01/01/2008"
"27","2","01/01/2008"
"34","3","01/01/2008"
"28","4","01/01/2008"
"29","5","01/01/2008"
"21","6","01/01/2008"
"36","7","01/01/2008"
"22","8","01/01/2008"
"30","9","01/01/2008"
"77","10","01/01/2008"
"32","1","01/01/2009"
"27","2","01/01/2009"
"34","3","01/01/2009"
"22","4","01/01/2009"
"29","5","01/01/2009"
"21","6","01/01/2009"
"28","7","01/01/2009"
"36","8","01/01/2009"
"49","9","01/01/2009"
