"ATA","Rank","Date"
"79","1","01/01/1995"
"57","2","01/01/1995"
"72","3","01/01/1995"
"56","4","01/01/1995"
"73","5","01/01/1995"
"76","6","01/01/1995"
"27","7","01/01/1995"
"29","8","01/01/1995"
"32","9","01/01/1995"
"52","10","01/01/1995"
"56","1","01/01/1998"
"29","2","01/01/1998"
"26","3","01/01/1998"
"75","4","01/01/1998"
"76","5","01/01/1998"
"36","6","01/01/1998"
"73","7","01/01/1998"
"27","8","01/01/1998"
"74","9","01/01/1998"
"32","10","01/01/1998"
"57","1","01/01/2001"
"51","2","01/01/2001"
"55","3","01/01/2001"
"74","4","01/01/2001"
"26","5","01/01/2001"
"56","6","01/01/2001"
"71","7","01/01/2001"
"29","8","01/01/2001"
"76","9","01/01/2001"
"53","10","01/01/2001"
"75","1","01/01/2004"
"56","2","01/01/2004"
"72","3","01/01/2004"
"79","4","01/01/2004"
"53","5","01/01/2004"
"73","6","01/01/2004"
"57","7","01/01/2004"
"71","8","01/01/2004"
"77","9","01/01/2004"
"30","10","01/01/2004"
"75","1","01/01/2007"
"36","2","01/01/2007"
"71","3","01/01/2007"
"29","4","01/01/2007"
"56","5","01/01/2007"
"53","6","01/01/2007"
"72","7","01/01/2007"
"27","8","01/01/2007"
"57","9","01/01/2007"
"73","10","01/01/2007"
"75","1","01/01/2010"
"26","2","01/01/2010"
"79","3","01/01/2010"
"72","4","01/01/2010"
"36","5","01/01/2010"
"80","6","01/01/2010"
"73","7","01/01/2010"
"29","8","01/01/2010"
"27","9","01/01/2010"
"78","10","01/01/2010"
"26","1","01/01/2013"
"79","2","01/01/2013"
"71","3","01/01/2013"
"53","4","01/01/2013"
"29","5","01/01/2013"
"74","6","01/01/2013"
"27","7","01/01/2013"
"72","8","01/01/2013"
"32","9","01/01/2013"
"21","10","01/01/2013"
