"ATA","Rank","Date"
"36","1","01/01/2011"
"72","2","01/01/2011"
"24","3","01/01/2011"
"27","4","01/01/2011"
"29","5","01/01/2011"
"35","6","01/01/2011"
"55","7","01/01/2011"
"76","8","01/01/2011"
"30","9","01/01/2011"
"77","10","01/01/2011"
"56","1","01/04/2011"
"27","2","01/04/2011"
"24","3","01/04/2011"
"36","4","01/04/2011"
"61","5","01/04/2011"
"79","6","01/04/2011"
"29","7","01/04/2011"
"30","8","01/04/2011"
"32","9","01/04/2011"
"23","10","01/04/2011"
"26","1","01/07/2011"
"27","2","01/07/2011"
"56","3","01/07/2011"
"79","4","01/07/2011"
"23","5","01/07/2011"
"71","6","01/07/2011"
"73","7","01/07/2011"
"77","8","01/07/2011"
"24","9","01/07/2011"
"21","10","01/07/2011"
"5","1","01/10/2011"
"22","2","01/10/2011"
"26","3","01/10/2011"
"38","4","01/10/2011"
"57","5","01/10/2011"
"73","6","01/10/2011"
"21","7","01/10/2011"
"27","8","01/10/2011"
"77","9","01/10/2011"
"28","10","01/10/2011"
"26","1","01/01/2012"
"36","2","01/01/2012"
"72","3","01/01/2012"
"32","4","01/01/2012"
"21","5","01/01/2012"
"71","6","01/01/2012"
"34","7","01/01/2012"
"25","8","01/01/2012"
"27","9","01/01/2012"
"73","10","01/01/2012"
"53","1","01/04/2012"
"52","2","01/04/2012"
"72","3","01/04/2012"
"28","4","01/04/2012"
"32","5","01/04/2012"
"34","6","01/04/2012"
"31","7","01/04/2012"
"56","8","01/04/2012"
"61","9","01/04/2012"
"27","10","01/04/2012"
"72","1","01/07/2012"
"21","2","01/07/2012"
"28","3","01/07/2012"
"34","4","01/07/2012"
"32","5","01/07/2012"
"77","6","01/07/2012"
"52","7","01/07/2012"
"56","8","01/07/2012"
"76","9","01/07/2012"
"30","10","01/07/2012"
"23","1","01/10/2012"
"24","2","01/10/2012"
"36","3","01/10/2012"
"56","4","01/10/2012"
"72","5","01/10/2012"
"76","6","01/10/2012"
"79","7","01/10/2012"
"29","8","01/10/2012"
"21","9","01/10/2012"
"32","10","01/10/2012"
"12","1","01/01/2013"
"35","2","01/01/2013"
"72","3","01/01/2013"
"31","4","01/01/2013"
"52","5","01/01/2013"
"24","6","01/01/2013"
"29","7","01/01/2013"
"61","8","01/01/2013"
"32","9","01/01/2013"
"27","10","01/01/2013"
"56","1","01/04/2013"
"72","2","01/04/2013"
"27","3","01/04/2013"
"38","4","01/04/2013"
"32","5","01/04/2013"
"73","6","01/04/2013"
"22","7","01/04/2013"
"29","8","01/04/2013"
"77","9","01/04/2013"
"33","10","01/04/2013"
"24","1","01/07/2013"
"77","2","01/07/2013"
"76","3","01/07/2013"
"36","4","01/07/2013"
"71","5","01/07/2013"
"73","6","01/07/2013"
"29","7","01/07/2013"
"32","8","01/07/2013"
"34","9","01/07/2013"
"30","10","01/07/2013"
"31","1","01/10/2013"
"72","2","01/10/2013"
"76","3","01/10/2013"
"77","4","01/10/2013"
"29","5","01/10/2013"
"36","6","01/10/2013"
"71","7","01/10/2013"
"30","8","01/10/2013"
"52","9","01/10/2013"
"27","10","01/10/2013"
"12","1","01/01/2014"
"71","2","01/01/2014"
"21","3","01/01/2014"
"73","4","01/01/2014"
"29","5","01/01/2014"
"61","6","01/01/2014"
"36","7","01/01/2014"
"76","8","01/01/2014"
"32","9","01/01/2014"
"5","10","01/01/2014"
"76","1","01/04/2014"
"27","2","01/04/2014"
"24","3","01/04/2014"
"29","4","01/04/2014"
"73","5","01/04/2014"
"33","6","01/04/2014"
"34","7","01/04/2014"
"5","8","01/04/2014"
"23","9","01/04/2014"
"25","10","01/04/2014"
"72","1","01/07/2014"
"27","2","01/07/2014"
"28","3","01/07/2014"
"61","4","01/07/2014"
"29","5","01/07/2014"
"32","6","01/07/2014"
"34","7","01/07/2014"
"5","8","01/07/2014"
"23","9","01/07/2014"
"24","10","01/07/2014"
"31","1","01/10/2014"
"54","2","01/10/2014"
"61","3","01/10/2014"
"30","4","01/10/2014"
"32","5","01/10/2014"
"23","6","01/10/2014"
"24","7","01/10/2014"
"34","8","01/10/2014"
"5","9","01/10/2014"
"12","10","01/10/2014"
"53","1","01/01/2015"
"56","2","01/01/2015"
"23","3","01/01/2015"
"29","4","01/01/2015"
"33","5","01/01/2015"
"73","6","01/01/2015"
"24","7","01/01/2015"
"61","8","01/01/2015"
"32","9","01/01/2015"
"34","10","01/01/2015"
"76","1","01/04/2015"
"27","2","01/04/2015"
"61","3","01/04/2015"
"28","4","01/04/2015"
"5","5","01/04/2015"
"20","6","01/04/2015"
"21","7","01/04/2015"
"22","8","01/04/2015"
"23","9","01/04/2015"
"24","10","01/04/2015"
"35","1","01/07/2015"
"27","2","01/07/2015"
"77","3","01/07/2015"
"61","4","01/07/2015"
"34","5","01/07/2015"
"5","6","01/07/2015"
"21","7","01/07/2015"
"23","8","01/07/2015"
"24","9","01/07/2015"
"26","10","01/07/2015"
"30","1","01/10/2015"
"24","2","01/10/2015"
"29","3","01/10/2015"
"73","4","01/10/2015"
"71","5","01/10/2015"
"77","6","01/10/2015"
"34","7","01/10/2015"
"21","8","01/10/2015"
"23","9","01/10/2015"
"25","10","01/10/2015"
