"ATA","Rank","Year"
"2911","1","01/01/2011"
"3611","2","01/01/2011"
"2131","3","01/01/2011"
"500","4","01/01/2011"
"7100","5","01/01/2011"
"2221","6","01/01/2011"
"5611","7","01/01/2011"
"3352","8","01/01/2011"
"3242","9","01/01/2011"
"3241","10","01/01/2011"
"3611","1","01/01/2012"
"3241","2","01/01/2012"
"2821","3","01/01/2012"
"5611","4","01/01/2012"
"3461","5","01/01/2012"
"500","6","01/01/2012"
"2351","7","01/01/2012"
"2131","8","01/01/2012"
"2221","9","01/01/2012"
"2433","10","01/01/2012"
"500","1","01/01/2013"
"3611","2","01/01/2013"
"2911","3","01/01/2013"
"3242","4","01/01/2013"
"3241","5","01/01/2013"
"2221","6","01/01/2013"
"8011","7","01/01/2013"
"7745","8","01/01/2013"
"3245","9","01/01/2013"
"3021","10","01/01/2013"
"2211","1","01/01/2014"
"3611","2","01/01/2014"
"3242","3","01/01/2014"
"8011","4","01/01/2014"
"3241","5","01/01/2014"
"5611","6","01/01/2014"
"4910","7","01/01/2014"
"500","8","01/01/2014"
"3011","9","01/01/2014"
"2131","10","01/01/2014"
"3611","1","01/01/2015"
"3232","2","01/01/2015"
"2211","3","01/01/2015"
"7421","4","01/01/2015"
"3021","5","01/01/2015"
"7311","6","01/01/2015"
"5613","7","01/01/2015"
"3011","8","01/01/2015"
"2131","9","01/01/2015"
"3428","10","01/01/2015"
