"ATA","Rank","Year"
"282","1","01/01/2014"
"783","2","01/01/2014"
"342","3","01/01/2014"
"321","4","01/01/2014"
"774","5","01/01/2014"
"291","6","01/01/2014"
"235","7","01/01/2014"
"221","8","01/01/2014"
"273","9","01/01/2014"
"256","10","01/01/2014"
"342","1","01/04/2014"
"271","2","01/04/2014"
"275","3","01/04/2014"
"774","4","01/04/2014"
"281","5","01/04/2014"
"215","6","01/04/2014"
"521","7","01/04/2014"
"282","8","01/04/2014"
"525","9","01/04/2014"
"324","10","01/04/2014"
"342","1","01/07/2014"
"275","2","01/07/2014"
"221","3","01/07/2014"
"341","4","01/07/2014"
"323","5","01/07/2014"
"282","6","01/07/2014"
"361","7","01/07/2014"
"324","8","01/07/2014"
"522","9","01/07/2014"
"242","10","01/07/2014"
"250","1","01/10/2014"
"243","2","01/10/2014"
"236","3","01/10/2014"
"324","4","01/10/2014"
"361","5","01/10/2014"
"221","6","01/10/2014"
"282","7","01/10/2014"
"494","8","01/10/2014"
"521","9","01/10/2014"
"326","10","01/10/2014"
"274","1","01/01/2015"
"221","2","01/01/2015"
"361","3","01/01/2015"
"494","4","01/01/2015"
"314","5","01/01/2015"
"290","6","01/01/2015"
"342","7","01/01/2015"
"324","8","01/01/2015"
"276","9","01/01/2015"
"253","10","01/01/2015"
"783","1","01/04/2015"
"324","2","01/04/2015"
"561","3","01/04/2015"
"361","4","01/04/2015"
"346","5","01/04/2015"
"323","6","01/04/2015"
"521","7","01/04/2015"
"271","8","01/04/2015"
"341","9","01/04/2015"
"272","10","01/04/2015"
"282","1","01/07/2015"
"381","2","01/07/2015"
"361","3","01/07/2015"
"342","4","01/07/2015"
"326","5","01/07/2015"
"281","6","01/07/2015"
"323","7","01/07/2015"
"521","8","01/07/2015"
"324","9","01/07/2015"
"221","10","01/07/2015"
"276","1","01/10/2015"
"342","2","01/10/2015"
"324","3","01/10/2015"
"221","4","01/10/2015"
"273","5","01/10/2015"
"222","6","01/10/2015"
"361","7","01/10/2015"
"303","8","01/10/2015"
"272","9","01/10/2015"
"302","10","01/10/2015"
