"ATA","Rank","Date"
"27","1","01/01/1995"
"22","2","01/01/1995"
"32","3","01/01/1995"
"52","4","01/01/1995"
"24","5","01/01/1995"
"30","6","01/01/1995"
"34","7","01/01/1995"
"21","8","01/01/1995"
"33","9","01/01/1995"
"36","10","01/01/1995"
"27","1","01/01/1996"
"32","2","01/01/1996"
"24","3","01/01/1996"
"29","4","01/01/1996"
"21","5","01/01/1996"
"22","6","01/01/1996"
"79","7","01/01/1996"
"28","8","01/01/1996"
"49","9","01/01/1996"
"34","10","01/01/1996"
"27","1","01/01/1997"
"32","2","01/01/1997"
"22","3","01/01/1997"
"34","4","01/01/1997"
"28","5","01/01/1997"
"30","6","01/01/1997"
"72","7","01/01/1997"
"73","8","01/01/1997"
"76","9","01/01/1997"
"77","10","01/01/1997"
"27","1","01/01/1998"
"32","2","01/01/1998"
"34","3","01/01/1998"
"29","4","01/01/1998"
"21","5","01/01/1998"
"24","6","01/01/1998"
"52","7","01/01/1998"
"22","8","01/01/1998"
"30","9","01/01/1998"
"56","10","01/01/1998"
"32","1","01/01/1999"
"27","2","01/01/1999"
"29","3","01/01/1999"
"36","4","01/01/1999"
"22","5","01/01/1999"
"56","6","01/01/1999"
"34","7","01/01/1999"
"24","8","01/01/1999"
"21","9","01/01/1999"
"31","10","01/01/1999"
"32","1","01/01/2000"
"27","2","01/01/2000"
"29","3","01/01/2000"
"36","4","01/01/2000"
"34","5","01/01/2000"
"21","6","01/01/2000"
"78","7","01/01/2000"
"56","8","01/01/2000"
"22","9","01/01/2000"
"24","10","01/01/2000"
"32","1","01/01/2001"
"27","2","01/01/2001"
"29","3","01/01/2001"
"21","4","01/01/2001"
"22","5","01/01/2001"
"52","6","01/01/2001"
"36","7","01/01/2001"
"56","8","01/01/2001"
"49","9","01/01/2001"
"24","10","01/01/2001"
"32","1","01/01/2002"
"27","2","01/01/2002"
"36","3","01/01/2002"
"29","4","01/01/2002"
"52","5","01/01/2002"
"24","6","01/01/2002"
"21","7","01/01/2002"
"56","8","01/01/2002"
"28","9","01/01/2002"
"71","10","01/01/2002"
"32","1","01/01/2003"
"27","2","01/01/2003"
"29","3","01/01/2003"
"34","4","01/01/2003"
"22","5","01/01/2003"
"30","6","01/01/2003"
"52","7","01/01/2003"
"56","8","01/01/2003"
"25","9","01/01/2003"
"28","10","01/01/2003"
"27","1","01/01/2004"
"72","2","01/01/2004"
"32","3","01/01/2004"
"30","4","01/01/2004"
"21","5","01/01/2004"
"36","6","01/01/2004"
"34","7","01/01/2004"
"22","8","01/01/2004"
"29","9","01/01/2004"
"24","10","01/01/2004"
"52","1","01/01/2005"
"27","2","01/01/2005"
"32","3","01/01/2005"
"30","4","01/01/2005"
"22","5","01/01/2005"
"24","6","01/01/2005"
"36","7","01/01/2005"
"73","8","01/01/2005"
"78","9","01/01/2005"
"29","10","01/01/2005"
"32","1","01/01/2006"
"27","2","01/01/2006"
"21","3","01/01/2006"
"29","4","01/01/2006"
"24","5","01/01/2006"
"34","6","01/01/2006"
"77","7","01/01/2006"
"52","8","01/01/2006"
"23","9","01/01/2006"
"28","10","01/01/2006"
"32","1","01/01/2007"
"27","2","01/01/2007"
"29","3","01/01/2007"
"52","4","01/01/2007"
"34","5","01/01/2007"
"36","6","01/01/2007"
"21","7","01/01/2007"
"72","8","01/01/2007"
"77","9","01/01/2007"
"71","10","01/01/2007"
"27","1","01/01/2008"
"36","2","01/01/2008"
"29","3","01/01/2008"
"32","4","01/01/2008"
"24","5","01/01/2008"
"34","6","01/01/2008"
"52","7","01/01/2008"
"72","8","01/01/2008"
"21","9","01/01/2008"
"28","10","01/01/2008"
"32","1","01/01/2009"
"27","2","01/01/2009"
"36","3","01/01/2009"
"56","4","01/01/2009"
"28","5","01/01/2009"
"29","6","01/01/2009"
"30","7","01/01/2009"
"52","8","01/01/2009"
"22","9","01/01/2009"
"24","10","01/01/2009"
"32","1","01/01/2010"
"27","2","01/01/2010"
"36","3","01/01/2010"
"34","4","01/01/2010"
"30","5","01/01/2010"
"21","6","01/01/2010"
"29","7","01/01/2010"
"52","8","01/01/2010"
"72","9","01/01/2010"
"56","10","01/01/2010"
"27","1","01/01/2011"
"32","2","01/01/2011"
"29","3","01/01/2011"
"52","4","01/01/2011"
"36","5","01/01/2011"
"72","6","01/01/2011"
"21","7","01/01/2011"
"24","8","01/01/2011"
"73","9","01/01/2011"
"34","10","01/01/2011"
"32","1","01/01/2012"
"27","2","01/01/2012"
"29","3","01/01/2012"
"34","4","01/01/2012"
"28","5","01/01/2012"
"36","6","01/01/2012"
"78","7","01/01/2012"
"21","8","01/01/2012"
"25","9","01/01/2012"
"52","10","01/01/2012"
"27","1","01/01/2013"
"32","2","01/01/2013"
"34","3","01/01/2013"
"21","4","01/01/2013"
"29","5","01/01/2013"
"28","6","01/01/2013"
"22","7","01/01/2013"
"24","8","01/01/2013"
"25","9","01/01/2013"
"78","10","01/01/2013"
"27","1","01/01/2014"
"32","2","01/01/2014"
"34","3","01/01/2014"
"52","4","01/01/2014"
"21","5","01/01/2014"
"28","6","01/01/2014"
"36","7","01/01/2014"
"24","8","01/01/2014"
"29","9","01/01/2014"
"71","10","01/01/2014"
"27","1","01/01/2015"
"32","2","01/01/2015"
"52","3","01/01/2015"
"29","4","01/01/2015"
"5","5","01/01/2015"
"21","6","01/01/2015"
"24","7","01/01/2015"
"28","8","01/01/2015"
"22","9","01/01/2015"
"25","10","01/01/2015"
