"ATA","Rank","Date"
"27","1","01/01/2014"
"32","2","01/01/2014"
"34","3","01/01/2014"
"22","4","01/01/2014"
"49","5","01/01/2014"
"29","6","01/01/2014"
"28","7","01/01/2014"
"56","8","01/01/2014"
"36","9","01/01/2014"
"77","10","01/01/2014"
"32","1","01/07/2014"
"21","2","01/07/2014"
"28","3","01/07/2014"
"27","4","01/07/2014"
"22","5","01/07/2014"
"34","6","01/07/2014"
"73","7","01/07/2014"
"30","8","01/07/2014"
"49","9","01/07/2014"
"36","10","01/07/2014"
"27","1","01/01/2015"
"32","2","01/01/2015"
"36","3","01/01/2015"
"34","4","01/01/2015"
"28","5","01/01/2015"
"30","6","01/01/2015"
"21","7","01/01/2015"
"56","8","01/01/2015"
"22","9","01/01/2015"
"49","10","01/01/2015"
"27","1","01/07/2015"
"32","2","01/07/2015"
"34","3","01/07/2015"
"21","4","01/07/2015"
"28","5","01/07/2015"
"30","6","01/07/2015"
"49","7","01/07/2015"
"29","8","01/07/2015"
"22","9","01/07/2015"
"36","10","01/07/2015"
