"ATA","Rank","Date"
"7","1","01/01/2011"
"56","2","01/01/2011"
"30","3","01/01/2011"
"5","4","01/01/2011"
"27","5","01/01/2011"
"76","6","01/01/2011"
"28","7","01/01/2011"
"72","8","01/01/2011"
"73","9","01/01/2011"
"77","10","01/01/2011"
"56","1","01/04/2011"
"35","2","01/04/2011"
"73","3","01/04/2011"
"5","4","01/04/2011"
"52","5","01/04/2011"
"21","6","01/04/2011"
"71","7","01/04/2011"
"76","8","01/04/2011"
"27","9","01/04/2011"
"23","10","01/04/2011"
"75","1","01/07/2011"
"73","2","01/07/2011"
"76","3","01/07/2011"
"53","4","01/07/2011"
"57","5","01/07/2011"
"27","6","01/07/2011"
"72","7","01/07/2011"
"29","8","01/07/2011"
"32","9","01/07/2011"
"24","10","01/07/2011"
"24","1","01/10/2011"
"72","2","01/10/2011"
"73","3","01/10/2011"
"32","4","01/10/2011"
"21","5","01/10/2011"
"27","6","01/10/2011"
"36","7","01/10/2011"
"52","8","01/10/2011"
"78","9","01/10/2011"
"74","10","01/10/2011"
"26","1","01/01/2012"
"31","2","01/01/2012"
"71","3","01/01/2012"
"24","4","01/01/2012"
"72","5","01/01/2012"
"78","6","01/01/2012"
"27","7","01/01/2012"
"29","8","01/01/2012"
"36","9","01/01/2012"
"32","10","01/01/2012"
"57","1","01/04/2012"
"36","2","01/04/2012"
"77","3","01/04/2012"
"75","4","01/04/2012"
"72","5","01/04/2012"
"52","6","01/04/2012"
"29","7","01/04/2012"
"32","8","01/04/2012"
"71","9","01/04/2012"
"5","10","01/04/2012"
"57","1","01/07/2012"
"56","2","01/07/2012"
"29","3","01/07/2012"
"27","4","01/07/2012"
"77","5","01/07/2012"
"72","6","01/07/2012"
"32","7","01/07/2012"
"28","8","01/07/2012"
"36","9","01/07/2012"
"31","10","01/07/2012"
"56","1","01/10/2012"
"57","2","01/10/2012"
"27","3","01/10/2012"
"29","4","01/10/2012"
"32","5","01/10/2012"
"49","6","01/10/2012"
"73","7","01/10/2012"
"72","8","01/10/2012"
"22","9","01/10/2012"
"77","10","01/10/2012"
"75","1","01/01/2013"
"76","2","01/01/2013"
"30","3","01/01/2013"
"56","4","01/01/2013"
"24","5","01/01/2013"
"53","6","01/01/2013"
"71","7","01/01/2013"
"72","8","01/01/2013"
"32","9","01/01/2013"
"27","10","01/01/2013"
"54","1","01/04/2013"
"57","2","01/04/2013"
"71","3","01/04/2013"
"72","4","01/04/2013"
"79","5","01/04/2013"
"29","6","01/04/2013"
"38","7","01/04/2013"
"32","8","01/04/2013"
"31","9","01/04/2013"
"74","10","01/04/2013"
"73","1","01/07/2013"
"74","2","01/07/2013"
"25","3","01/07/2013"
"34","4","01/07/2013"
"76","5","01/07/2013"
"79","6","01/07/2013"
"23","7","01/07/2013"
"26","8","01/07/2013"
"78","9","01/07/2013"
"32","10","01/07/2013"
"79","1","01/10/2013"
"27","2","01/10/2013"
"52","3","01/10/2013"
"32","4","01/10/2013"
"30","5","01/10/2013"
"74","6","01/10/2013"
"21","7","01/10/2013"
"72","8","01/10/2013"
"78","9","01/10/2013"
"56","10","01/10/2013"
"54","1","01/01/2014"
"78","2","01/01/2014"
"73","3","01/01/2014"
"28","4","01/01/2014"
"72","5","01/01/2014"
"52","6","01/01/2014"
"53","7","01/01/2014"
"29","8","01/01/2014"
"27","9","01/01/2014"
"32","10","01/01/2014"
"76","1","01/04/2014"
"56","2","01/04/2014"
"71","3","01/04/2014"
"72","4","01/04/2014"
"78","5","01/04/2014"
"21","6","01/04/2014"
"30","7","01/04/2014"
"31","8","01/04/2014"
"73","9","01/04/2014"
"28","10","01/04/2014"
"26","1","01/07/2014"
"75","2","01/07/2014"
"21","3","01/07/2014"
"78","4","01/07/2014"
"27","5","01/07/2014"
"56","6","01/07/2014"
"25","7","01/07/2014"
"73","8","01/07/2014"
"36","9","01/07/2014"
"24","10","01/07/2014"
"57","1","01/10/2014"
"75","2","01/10/2014"
"36","3","01/10/2014"
"30","4","01/10/2014"
"56","5","01/10/2014"
"32","6","01/10/2014"
"29","7","01/10/2014"
"74","8","01/10/2014"
"77","9","01/10/2014"
"52","10","01/10/2014"
"29","1","01/01/2015"
"31","2","01/01/2015"
"72","3","01/01/2015"
"77","4","01/01/2015"
"56","5","01/01/2015"
"30","6","01/01/2015"
"35","7","01/01/2015"
"71","8","01/01/2015"
"21","9","01/01/2015"
"49","10","01/01/2015"
"75","1","01/04/2015"
"79","2","01/04/2015"
"29","3","01/04/2015"
"30","4","01/04/2015"
"32","5","01/04/2015"
"33","6","01/04/2015"
"5","7","01/04/2015"
"27","8","01/04/2015"
"21","9","01/04/2015"
"24","10","01/04/2015"
"75","1","01/07/2015"
"76","2","01/07/2015"
"72","3","01/07/2015"
"56","4","01/07/2015"
"38","5","01/07/2015"
"74","6","01/07/2015"
"27","7","01/07/2015"
"29","8","01/07/2015"
"78","9","01/07/2015"
"28","10","01/07/2015"
"53","1","01/10/2015"
"74","2","01/10/2015"
"29","3","01/10/2015"
"71","4","01/10/2015"
"77","5","01/10/2015"
"72","6","01/10/2015"
"28","7","01/10/2015"
"32","8","01/10/2015"
"30","9","01/10/2015"
"23","10","01/10/2015"
