"ATA","Rank","Date"
"73","1","01/01/1988"
"30","2","01/01/1988"
"61","3","01/01/1988"
"32","4","01/01/1988"
"34","5","01/01/1988"
"29","6","01/01/1988"
"24","7","01/01/1988"
"27","8","01/01/1988"
"72","9","01/01/1988"
"77","10","01/01/1988"
"73","1","01/01/1991"
"32","2","01/01/1991"
"30","3","01/01/1991"
"61","4","01/01/1991"
"34","5","01/01/1991"
"29","6","01/01/1991"
"24","7","01/01/1991"
"79","8","01/01/1991"
"27","9","01/01/1991"
"72","10","01/01/1991"
"73","1","01/01/1994"
"30","2","01/01/1994"
"32","3","01/01/1994"
"61","4","01/01/1994"
"34","5","01/01/1994"
"24","6","01/01/1994"
"29","7","01/01/1994"
"27","8","01/01/1994"
"77","9","01/01/1994"
"79","10","01/01/1994"
"73","1","01/01/1997"
"30","2","01/01/1997"
"32","3","01/01/1997"
"61","4","01/01/1997"
"34","5","01/01/1997"
"27","6","01/01/1997"
"29","7","01/01/1997"
"24","8","01/01/1997"
"79","9","01/01/1997"
"72","10","01/01/1997"
"32","1","01/01/2000"
"61","2","01/01/2000"
"73","3","01/01/2000"
"30","4","01/01/2000"
"34","5","01/01/2000"
"29","6","01/01/2000"
"27","7","01/01/2000"
"24","8","01/01/2000"
"77","9","01/01/2000"
"56","10","01/01/2000"
"32","1","01/01/2003"
"61","2","01/01/2003"
"30","3","01/01/2003"
"34","4","01/01/2003"
"27","5","01/01/2003"
"73","6","01/01/2003"
"24","7","01/01/2003"
"29","8","01/01/2003"
"77","9","01/01/2003"
"72","10","01/01/2003"
"30","1","01/01/2006"
"32","2","01/01/2006"
"34","3","01/01/2006"
"61","4","01/01/2006"
"73","5","01/01/2006"
"24","6","01/01/2006"
"27","7","01/01/2006"
"77","8","01/01/2006"
"29","9","01/01/2006"
"80","10","01/01/2006"
"32","1","01/01/2009"
"34","2","01/01/2009"
"30","3","01/01/2009"
"73","4","01/01/2009"
"24","5","01/01/2009"
"61","6","01/01/2009"
"27","7","01/01/2009"
"77","8","01/01/2009"
"29","9","01/01/2009"
"80","10","01/01/2009"
"32","1","01/01/2012"
"34","2","01/01/2012"
"61","3","01/01/2012"
"29","4","01/01/2012"
"73","5","01/01/2012"
"24","6","01/01/2012"
"30","7","01/01/2012"
"27","8","01/01/2012"
"72","9","01/01/2012"
"76","10","01/01/2012"
"34","1","01/01/2015"
"24","2","01/01/2015"
"56","3","01/01/2015"
"61","4","01/01/2015"
"73","5","01/01/2015"
"27","6","01/01/2015"
"29","7","01/01/2015"
"30","8","01/01/2015"
"23","9","01/01/2015"
"77","10","01/01/2015"
