"ATA","Rank","Year"
"2735","1","01/01/1995"
"2211","2","01/01/1995"
"2221","3","01/01/1995"
"2421","4","01/01/1995"
"7830","5","01/01/1995"
"3426","6","01/01/1995"
"2743","7","01/01/1995"
"3600","8","01/01/1995"
"3211","9","01/01/1995"
"3011","10","01/01/1995"
"2221","1","01/01/1996"
"2735","2","01/01/1996"
"2763","3","01/01/1996"
"4960","4","01/01/1996"
"2822","5","01/01/1996"
"5211","6","01/01/1996"
"3141","7","01/01/1996"
"2421","8","01/01/1996"
"3241","9","01/01/1996"
"2312","10","01/01/1996"
"2735","1","01/01/1997"
"7830","2","01/01/1997"
"2813","3","01/01/1997"
"3261","4","01/01/1997"
"2221","5","01/01/1997"
"2756","6","01/01/1997"
"2230","7","01/01/1997"
"3242","8","01/01/1997"
"2820","9","01/01/1997"
"2740","10","01/01/1997"
"3611","1","01/01/1998"
"2735","2","01/01/1998"
"7830","3","01/01/1998"
"2221","4","01/01/1998"
"2720","5","01/01/1998"
"5211","6","01/01/1998"
"2151","7","01/01/1998"
"3242","8","01/01/1998"
"3241","9","01/01/1998"
"2731","10","01/01/1998"
"7830","1","01/01/1999"
"2735","2","01/01/1999"
"3611","3","01/01/1999"
"2910","4","01/01/1999"
"2823","5","01/01/1999"
"2740","6","01/01/1999"
"2126","7","01/01/1999"
"2211","8","01/01/1999"
"3241","9","01/01/1999"
"2710","10","01/01/1999"
"7830","1","01/01/2000"
"2735","2","01/01/2000"
"3240","3","01/01/2000"
"3610","4","01/01/2000"
"2420","5","01/01/2000"
"2210","6","01/01/2000"
"3428","7","01/01/2000"
"3230","8","01/01/2000"
"2740","9","01/01/2000"
"2720","10","01/01/2000"
"7830","1","01/01/2001"
"3240","2","01/01/2001"
"2910","3","01/01/2001"
"3021","4","01/01/2001"
"2210","5","01/01/2001"
"2150","6","01/01/2001"
"2740","7","01/01/2001"
"5610","8","01/01/2001"
"5210","9","01/01/2001"
"7200","10","01/01/2001"
"3240","1","01/01/2002"
"3610","2","01/01/2002"
"2910","3","01/01/2002"
"2210","4","01/01/2002"
"3210","5","01/01/2002"
"2735","6","01/01/2002"
"2420","7","01/01/2002"
"5610","8","01/01/2002"
"2720","9","01/01/2002"
"2710","10","01/01/2002"
"3240","1","01/01/2003"
"3210","2","01/01/2003"
"3610","3","01/01/2003"
"2910","4","01/01/2003"
"3021","5","01/01/2003"
"5210","6","01/01/2003"
"2735","7","01/01/2003"
"2210","8","01/01/2003"
"2410","9","01/01/2003"
"7830","10","01/01/2003"
"3240","1","01/01/2004"
"3830","2","01/01/2004"
"5210","3","01/01/2004"
"3610","4","01/01/2004"
"7230","5","01/01/2004"
"2210","6","01/01/2004"
"3413","7","01/01/2004"
"2150","8","01/01/2004"
"2900","9","01/01/2004"
"7830","10","01/01/2004"
"3240","1","01/01/2005"
"3610","2","01/01/2005"
"3260","3","01/01/2005"
"2210","4","01/01/2005"
"2120","5","01/01/2005"
"5210","6","01/01/2005"
"2900","7","01/01/2005"
"2750","8","01/01/2005"
"2735","9","01/01/2005"
"3830","10","01/01/2005"
"3240","1","01/01/2006"
"3610","2","01/01/2006"
"5210","3","01/01/2006"
"2210","4","01/01/2006"
"7830","5","01/01/2006"
"2150","6","01/01/2006"
"2910","7","01/01/2006"
"3830","8","01/01/2006"
"2221","9","01/01/2006"
"7200","10","01/01/2006"
"3240","1","01/01/2007"
"3610","2","01/01/2007"
"2210","3","01/01/2007"
"2840","4","01/01/2007"
"2520","5","01/01/2007"
"5210","6","01/01/2007"
"3460","7","01/01/2007"
"3830","8","01/01/2007"
"2510","9","01/01/2007"
"7200","10","01/01/2007"
"3244","1","01/01/2008"
"500","2","01/01/2008"
"7200","3","01/01/2008"
"3031","4","01/01/2008"
"3411","5","01/01/2008"
"3611","6","01/01/2008"
"3241","7","01/01/2008"
"2735","8","01/01/2008"
"2211","9","01/01/2008"
"3428","10","01/01/2008"
"3611","1","01/01/2009"
"500","2","01/01/2009"
"2151","3","01/01/2009"
"3021","4","01/01/2009"
"2131","5","01/01/2009"
"3244","6","01/01/2009"
"5211","7","01/01/2009"
"2221","8","01/01/2009"
"3241","9","01/01/2009"
"2211","10","01/01/2009"
"2310","1","01/01/2010"
"3245","2","01/01/2010"
"3241","3","01/01/2010"
"5211","4","01/01/2010"
"3011","5","01/01/2010"
"3411","6","01/01/2010"
"3611","7","01/01/2010"
"2755","8","01/01/2010"
"3242","9","01/01/2010"
"2131","10","01/01/2010"
"5211","1","01/01/2011"
"3611","2","01/01/2011"
"2823","3","01/01/2011"
"3244","4","01/01/2011"
"2151","5","01/01/2011"
"3241","6","01/01/2011"
"2735","7","01/01/2011"
"3245","8","01/01/2011"
"2131","9","01/01/2011"
"7830","10","01/01/2011"
"5211","1","01/01/2012"
"3611","2","01/01/2012"
"3241","3","01/01/2012"
"3245","4","01/01/2012"
"3262","5","01/01/2012"
"2911","6","01/01/2012"
"2131","7","01/01/2012"
"3831","8","01/01/2012"
"3461","9","01/01/2012"
"3232","10","01/01/2012"
"3611","1","01/01/2013"
"5211","2","01/01/2013"
"3426","3","01/01/2013"
"2735","4","01/01/2013"
"3021","5","01/01/2013"
"7832","6","01/01/2013"
"3245","7","01/01/2013"
"2351","8","01/01/2013"
"3241","9","01/01/2013"
"2431","10","01/01/2013"
"3426","1","01/01/2014"
"2211","2","01/01/2014"
"3428","3","01/01/2014"
"3611","4","01/01/2014"
"5211","5","01/01/2014"
"2755","6","01/01/2014"
"2500","7","01/01/2014"
"2823","8","01/01/2014"
"2821","9","01/01/2014"
"3242","10","01/01/2014"
"2763","1","01/01/2015"
"3611","2","01/01/2015"
"3241","3","01/01/2015"
"2211","4","01/01/2015"
"7830","5","01/01/2015"
"2821","6","01/01/2015"
"3428","7","01/01/2015"
"5211","8","01/01/2015"
"3812","9","01/01/2015"
"2221","10","01/01/2015"
