"ATA","Rank","Year"
"275","1","01/01/2014"
"342","2","01/01/2014"
"732","3","01/01/2014"
"352","4","01/01/2014"
"341","5","01/01/2014"
"761","6","01/01/2014"
"50","7","01/01/2014"
"344","8","01/01/2014"
"323","9","01/01/2014"
"731","10","01/01/2014"
"611","1","01/07/2014"
"342","2","01/07/2014"
"324","3","01/07/2014"
"243","4","01/07/2014"
"612","5","01/07/2014"
"284","6","01/07/2014"
"302","7","01/07/2014"
"50","8","01/07/2014"
"273","9","01/07/2014"
"241","10","01/07/2014"
"771","1","01/01/2015"
"303","2","01/01/2015"
"341","3","01/01/2015"
"612","4","01/01/2015"
"302","5","01/01/2015"
"293","6","01/01/2015"
"342","7","01/01/2015"
"243","8","01/01/2015"
"291","9","01/01/2015"
"324","10","01/01/2015"
"215","1","01/07/2015"
"561","2","01/07/2015"
"772","3","01/07/2015"
"731","4","01/07/2015"
"302","5","01/07/2015"
"322","6","01/07/2015"
"344","7","01/07/2015"
"341","8","01/07/2015"
"321","9","01/07/2015"
"273","10","01/07/2015"
