"ATA","Rank","Year"
"275","1","01/01/2014"
"352","2","01/01/2014"
"342","3","01/01/2014"
"761","4","01/01/2014"
"50","5","01/01/2014"
"341","6","01/01/2014"
"323","7","01/01/2014"
"611","8","01/01/2014"
"561","9","01/01/2014"
"324","10","01/01/2014"
"732","1","01/04/2014"
"344","2","01/04/2014"
"342","3","01/04/2014"
"731","4","01/04/2014"
"341","5","01/04/2014"
"280","6","01/04/2014"
"361","7","01/04/2014"
"241","8","01/04/2014"
"612","9","01/04/2014"
"293","10","01/04/2014"
"611","1","01/07/2014"
"324","2","01/07/2014"
"342","3","01/07/2014"
"273","4","01/07/2014"
"612","5","01/07/2014"
"290","6","01/07/2014"
"243","7","01/07/2014"
"261","8","01/07/2014"
"771","9","01/07/2014"
"252","10","01/07/2014"
"342","1","01/10/2014"
"284","2","01/10/2014"
"243","3","01/10/2014"
"50","4","01/10/2014"
"241","5","01/10/2014"
"732","6","01/10/2014"
"302","7","01/10/2014"
"275","8","01/10/2014"
"323","9","01/10/2014"
"242","10","01/10/2014"
"303","1","01/01/2015"
"771","2","01/01/2015"
"612","3","01/01/2015"
"341","4","01/01/2015"
"324","5","01/01/2015"
"293","6","01/01/2015"
"243","7","01/01/2015"
"346","8","01/01/2015"
"732","9","01/01/2015"
"291","10","01/01/2015"
"302","1","01/04/2015"
"341","2","01/04/2015"
"342","3","01/04/2015"
"612","4","01/04/2015"
"716","5","01/04/2015"
"344","6","01/04/2015"
"291","7","01/04/2015"
"50","8","01/04/2015"
"521","9","01/04/2015"
"243","10","01/04/2015"
"215","1","01/07/2015"
"561","2","01/07/2015"
"302","3","01/07/2015"
"321","4","01/07/2015"
"341","5","01/07/2015"
"731","6","01/07/2015"
"772","7","01/07/2015"
"290","8","01/07/2015"
"560","9","01/07/2015"
"344","10","01/07/2015"
"561","1","01/10/2015"
"322","2","01/10/2015"
"772","3","01/10/2015"
"731","4","01/10/2015"
"732","5","01/10/2015"
"252","6","01/10/2015"
"344","7","01/10/2015"
"273","8","01/10/2015"
"716","9","01/10/2015"
"335","10","01/10/2015"
