"ATA","Rank","Date"
"55","1","01/01/1988"
"71","2","01/01/1988"
"75","3","01/01/1988"
"72","4","01/01/1988"
"73","5","01/01/1988"
"56","6","01/01/1988"
"21","7","01/01/1988"
"27","8","01/01/1988"
"24","9","01/01/1988"
"36","10","01/01/1988"
"71","1","01/01/1991"
"72","2","01/01/1991"
"56","3","01/01/1991"
"76","4","01/01/1991"
"55","5","01/01/1991"
"53","6","01/01/1991"
"27","7","01/01/1991"
"36","8","01/01/1991"
"29","9","01/01/1991"
"73","10","01/01/1991"
"70","1","01/01/1994"
"54","2","01/01/1994"
"72","3","01/01/1994"
"51","4","01/01/1994"
"56","5","01/01/1994"
"76","6","01/01/1994"
"79","7","01/01/1994"
"53","8","01/01/1994"
"73","9","01/01/1994"
"36","10","01/01/1994"
"70","1","01/01/1997"
"72","2","01/01/1997"
"56","3","01/01/1997"
"76","4","01/01/1997"
"53","5","01/01/1997"
"21","6","01/01/1997"
"77","7","01/01/1997"
"27","8","01/01/1997"
"73","9","01/01/1997"
"36","10","01/01/1997"
"72","1","01/01/2000"
"56","2","01/01/2000"
"71","3","01/01/2000"
"73","4","01/01/2000"
"76","5","01/01/2000"
"53","6","01/01/2000"
"30","7","01/01/2000"
"21","8","01/01/2000"
"36","9","01/01/2000"
"57","10","01/01/2000"
"54","1","01/01/2003"
"71","2","01/01/2003"
"76","3","01/01/2003"
"72","4","01/01/2003"
"51","5","01/01/2003"
"73","6","01/01/2003"
"56","7","01/01/2003"
"57","8","01/01/2003"
"53","9","01/01/2003"
"26","10","01/01/2003"
"75","1","01/01/2006"
"72","2","01/01/2006"
"56","3","01/01/2006"
"71","4","01/01/2006"
"57","5","01/01/2006"
"53","6","01/01/2006"
"55","7","01/01/2006"
"36","8","01/01/2006"
"29","9","01/01/2006"
"73","10","01/01/2006"
"7","1","01/01/2009"
"20","2","01/01/2009"
"51","3","01/01/2009"
"75","4","01/01/2009"
"54","5","01/01/2009"
"56","6","01/01/2009"
"73","7","01/01/2009"
"72","8","01/01/2009"
"27","9","01/01/2009"
"53","10","01/01/2009"
"54","1","01/01/2012"
"75","2","01/01/2012"
"57","3","01/01/2012"
"72","4","01/01/2012"
"73","5","01/01/2012"
"29","6","01/01/2012"
"27","7","01/01/2012"
"56","8","01/01/2012"
"32","9","01/01/2012"
"71","10","01/01/2012"
"75","1","01/01/2015"
"29","2","01/01/2015"
"72","3","01/01/2015"
"30","4","01/01/2015"
"56","5","01/01/2015"
"35","6","01/01/2015"
"53","7","01/01/2015"
"74","8","01/01/2015"
"71","9","01/01/2015"
"32","10","01/01/2015"
