"ATA","Rank","TotDelay","Date","Weibk","WeibLamb","DelMean","DelStdDev","rho_xy","chisq","p"
"32","1","215469","01/01/1988","1.5732270088048914","38.516891896560345","34.589038414902355","22.478370748439033","0.006872763720463971","0.3066056417712413","1.0"
"73","2","208081","01/01/1988","1.3940301907401746","48.37127510249618","44.11652458525587","32.05665111044713","0.02010024905883125","0.05395100837992738","1.0"
"34","3","183583","01/01/1988","1.7783758954694007","32.5993608248798","29.007846239521985","16.859415192105306","0.007324938763640308","217.04114295672517","2.2396211894422267e-29"
"61","4","167849","01/01/1988","1.531205100565261","49.905551926205604","44.94427039114021","29.942861967107437","0.014724251391480231","0.022889598987906677","1.0"
"30","5","164729","01/01/1988","1.491147048852447","43.02432618921796","38.868208164554936","26.5347130601483","0.010506652024025016","0.17394707705081144","1.0"
"24","6","111020","01/01/1988","1.5890846830651697","40.9254826219707","36.71622878933407","23.642564544288245","0.01073708344877743","0.2601947264572706","1.0"
"29","7","107260","01/01/1988","1.4520490506268715","44.10084363131118","39.97929982922894","27.97150015197842","0.014413730816620226","0.15678264936439593","1.0"
"27","8","97466","01/01/1988","1.4501956572969217","42.491679952596435","38.52730162144582","26.987494604242904","0.009322054024872217","0.09242448572381394","1.0"
"77","9","83975","01/01/1988","1.6080454055429394","38.06331278674958","34.11101320393217","21.727910716107356","0.011495036401288817","0.34461164808746003","0.999999999999958"
"79","10","64837","01/01/1988","1.6503121765583615","40.125302840741995","35.87999818749761","22.31957350650251","0.021759401477678905","1.5481014867363343","0.9999831556397283"
