ATA,Mean,Variance,Std
32,1.662276841,0.677688017,0.823218086
27,1.58972468,0.907208494,0.952474931
36,4.568879434,7.609405275,2.758515049
21,2.848242894,2.845155205,1.686758787
34,1.176104192,0.458247496,0.676939802
22,3.766057635,5.005204871,2.237231519
29,3.184684852,3.742782355,1.934627188
24,4.300543365,6.952085471,2.636680768
49,4.847638326,9.30830175,3.050950958
71,7.33144493,31.14553036,5.580818073
